bank,date
BOE,2013-02-07
BOE,2013-03-07
BOE,2013-04-04
BOE,2013-05-09
BOE,2013-06-06
BOE,2013-07-04
BOE,2013-08-01
BOE,2013-09-05
BOE,2013-10-09
BOE,2013-11-07
BOE,2013-12-05
BOE,2014-01-09
BOE,2014-02-06
BOE,2014-03-06
BOE,2014-04-09
BOE,2014-05-08
BOE,2014-06-05
BOE,2014-07-10
BOE,2014-08-07
BOE,2014-09-04
BOE,2014-10-08
BOE,2014-11-06
BOE,2014-12-04
BOE,2015-01-08
BOE,2015-02-05
BOE,2015-03-05
BOE,2015-04-09
BOE,2015-05-08
BOE,2015-06-03
BOE,2015-07-08
BOE,2015-08-06
BOE,2015-09-10
BOE,2015-10-08
BOE,2015-11-05
BOE,2015-12-10
BOE,2016-01-14
BOE,2016-02-04
BOE,2016-03-17
BOE,2016-04-14
BOE,2016-05-12
BOE,2016-06-16
BOE,2016-07-14
BOE,2016-08-04
BOE,2016-09-15
BOE,2016-11-03
BOE,2016-12-15
BOE,2017-02-02
BOE,2017-03-16
BOE,2017-05-11
BOE,2017-06-15
BOE,2017-08-03
BOE,2017-09-14
BOE,2017-11-02
BOE,2017-12-14
BOE,2018-02-08
BOE,2018-03-22
BOE,2018-05-10
BOE,2018-06-21
BOE,2018-08-02
BOE,2018-09-13
BOE,2018-11-01
BOE,2018-12-20
BOE,2019-02-07
BOE,2019-03-21
BOE,2019-05-02
BOE,2019-06-20
BOE,2019-08-01
BOE,2019-09-19
BOE,2019-11-07
BOE,2019-12-19
BOE,2020-01-30
BOE,2020-03-11
BOE,2020-03-19
BOE,2020-03-26
BOE,2020-05-07
BOE,2020-06-18
BOE,2020-08-06
BOE,2020-09-17
BOE,2020-11-05
BOE,2020-12-17
BOE,2021-02-04
BOE,2021-03-18
BOE,2021-05-06
BOE,2021-06-24
BOE,2021-08-05
BOE,2021-09-23
BOE,2021-11-04
BOE,2021-12-16
BOE,2022-02-03
BOE,2022-03-17
BOE,2022-05-05
BOE,2022-06-16
BOE,2022-08-04
BOE,2022-09-22
BOE,2022-11-03
BOE,2022-12-15
BOE,2023-02-02
BOE,2023-03-23
BOE,2023-05-11
BOE,2023-06-22
BOE,2023-08-03
BOE,2023-09-21
BOE,2023-11-02
BOE,2023-12-14
BOE,2024-02-01
BOE,2024-03-21
BOJ,1997-01-03
BOJ,1997-02-07
BOJ,1997-03-07
BOJ,1997-04-04
BOJ,1997-05-02
BOJ,1997-06-06
BOJ,1997-07-04
BOJ,1997-08-01
BOJ,1997-09-05
BOJ,1997-10-03
BOJ,1997-11-07
BOJ,1997-12-05
BOJ,1998-01-02
BOJ,1998-02-06
BOJ,1998-03-06
BOJ,1998-04-03
BOJ,1998-05-01
BOJ,1998-06-05
BOJ,1998-07-03
BOJ,1998-08-07
BOJ,1998-09-04
BOJ,1998-09-09
BOJ,1998-10-02
BOJ,1998-11-06
BOJ,1998-12-04
BOJ,1999-01-01
BOJ,1999-02-05
BOJ,1999-02-12
BOJ,1999-02-25
BOJ,1999-03-05
BOJ,1999-04-02
BOJ,1999-05-07
BOJ,1999-06-04
BOJ,1999-07-02
BOJ,1999-08-06
BOJ,1999-09-03
BOJ,1999-10-01
BOJ,1999-11-05
BOJ,1999-12-03
BOJ,2000-01-07
BOJ,2000-02-04
BOJ,2000-03-03
BOJ,2000-04-07
BOJ,2000-05-05
BOJ,2000-06-02
BOJ,2000-07-07
BOJ,2000-08-04
BOJ,2000-08-11
BOJ,2000-09-01
BOJ,2000-10-06
BOJ,2000-11-03
BOJ,2000-12-01
BOJ,2001-01-05
BOJ,2001-02-02
BOJ,2001-02-28
BOJ,2001-03-02
BOJ,2001-04-30
BOJ,2001-05-31
BOJ,2001-06-29
BOJ,2001-07-31
BOJ,2001-08-31
BOJ,2001-09-28
BOJ,2001-10-31
BOJ,2001-11-30
BOJ,2001-12-31
BOJ,2002-01-31
BOJ,2002-02-28
BOJ,2002-03-29
BOJ,2002-04-30
BOJ,2002-05-31
BOJ,2002-06-28
BOJ,2002-07-31
BOJ,2002-08-30
BOJ,2002-09-30
BOJ,2002-10-31
BOJ,2002-11-29
BOJ,2002-12-31
BOJ,2003-01-31
BOJ,2003-02-28
BOJ,2003-03-31
BOJ,2003-04-30
BOJ,2003-05-30
BOJ,2003-06-30
BOJ,2003-07-31
BOJ,2003-08-29
BOJ,2003-09-30
BOJ,2003-10-31
BOJ,2003-11-28
BOJ,2003-12-31
BOJ,2004-01-30
BOJ,2004-02-27
BOJ,2004-03-31
BOJ,2004-04-30
BOJ,2004-05-31
BOJ,2004-06-30
BOJ,2004-07-30
BOJ,2004-08-31
BOJ,2004-09-30
BOJ,2004-10-29
BOJ,2004-11-30
BOJ,2004-12-31
BOJ,2005-01-31
BOJ,2005-02-28
BOJ,2005-03-31
BOJ,2005-04-29
BOJ,2005-05-31
BOJ,2005-06-30
BOJ,2005-07-29
BOJ,2005-08-31
BOJ,2005-09-30
BOJ,2005-10-31
BOJ,2005-11-30
BOJ,2005-12-30
BOJ,2006-01-31
BOJ,2006-02-28
BOJ,2006-03-09
BOJ,2006-04-03
BOJ,2006-05-01
BOJ,2006-06-01
BOJ,2006-07-03
BOJ,2006-07-14
BOJ,2006-08-01
BOJ,2006-09-01
BOJ,2006-10-02
BOJ,2006-11-01
BOJ,2006-12-01
BOJ,2007-01-04
BOJ,2007-02-01
BOJ,2007-02-21
BOJ,2007-03-01
BOJ,2007-04-02
BOJ,2007-05-01
BOJ,2007-06-01
BOJ,2007-07-02
BOJ,2007-08-01
BOJ,2007-09-03
BOJ,2007-10-01
BOJ,2007-11-01
BOJ,2007-12-03
BOJ,2008-01-04
BOJ,2008-02-01
BOJ,2008-03-03
BOJ,2008-04-01
BOJ,2008-05-01
BOJ,2008-06-02
BOJ,2008-07-01
BOJ,2008-08-01
BOJ,2008-09-01
BOJ,2008-10-01
BOJ,2008-10-31
BOJ,2008-11-04
BOJ,2008-12-01
BOJ,2008-12-19
BOJ,2009-01-05
BOJ,2009-02-02
BOJ,2009-03-02
BOJ,2009-04-01
BOJ,2009-05-01
BOJ,2009-06-01
BOJ,2009-07-01
BOJ,2009-08-03
BOJ,2009-09-01
BOJ,2009-10-01
BOJ,2009-11-02
BOJ,2009-12-01
BOJ,2010-01-04
BOJ,2010-02-01
BOJ,2010-03-01
BOJ,2010-04-01
BOJ,2010-05-06
BOJ,2010-06-01
BOJ,2010-07-01
BOJ,2010-08-02
BOJ,2010-09-30
BOJ,2010-10-05
BOJ,2010-11-05
BOJ,2010-12-21
BOJ,2011-01-25
BOJ,2011-02-15
BOJ,2011-03-31
BOJ,2011-04-07
BOJ,2011-04-28
BOJ,2011-05-20
BOJ,2011-06-14
BOJ,2011-07-31
BOJ,2011-08-31
BOJ,2011-09-08
BOJ,2011-10-31
BOJ,2011-11-16
BOJ,2011-12-21
BOJ,2012-01-24
BOJ,2012-02-14
BOJ,2012-03-13
BOJ,2012-04-10
BOJ,2012-05-23
BOJ,2012-06-15
BOJ,2012-07-12
BOJ,2012-08-09
BOJ,2012-09-19
BOJ,2012-10-05
BOJ,2012-10-30
BOJ,2012-11-20
BOJ,2012-12-20
BOJ,2013-01-22
BOJ,2013-02-14
BOJ,2013-03-07
BOJ,2013-04-04
BOJ,2013-04-26
BOJ,2013-05-21
BOJ,2013-05-22
BOJ,2013-06-11
BOJ,2013-07-11
BOJ,2013-08-08
BOJ,2013-09-05
BOJ,2013-10-04
BOJ,2013-10-31
BOJ,2013-11-21
BOJ,2013-12-20
BOJ,2014-01-22
BOJ,2014-01-27
BOJ,2014-02-18
BOJ,2014-02-21
BOJ,2014-03-11
BOJ,2014-03-20
BOJ,2014-04-08
BOJ,2014-04-30
BOJ,2014-05-21
BOJ,2014-06-13
BOJ,2014-07-15
BOJ,2014-08-08
BOJ,2014-09-04
BOJ,2014-10-07
BOJ,2014-10-31
BOJ,2014-11-19
BOJ,2014-12-19
BOJ,2015-01-21
BOJ,2015-01-26
BOJ,2015-02-18
BOJ,2015-02-23
BOJ,2015-03-17
BOJ,2015-04-08
BOJ,2015-04-30
BOJ,2015-05-22
BOJ,2015-06-19
BOJ,2015-07-15
BOJ,2015-08-07
BOJ,2015-09-15
BOJ,2015-10-07
BOJ,2015-10-30
BOJ,2015-11-19
BOJ,2015-12-18
BOJ,2016-01-29
BOJ,2016-02-03
BOJ,2016-03-15
BOJ,2016-04-28
BOJ,2016-06-16
BOJ,2016-07-29
BOJ,2016-09-21
BOJ,2016-11-01
BOJ,2016-12-20
BOJ,2017-01-31
BOJ,2017-03-16
BOJ,2017-04-27
BOJ,2017-06-16
BOJ,2017-07-20
BOJ,2017-09-21
BOJ,2017-10-31
BOJ,2017-12-21
BOJ,2018-01-23
BOJ,2018-03-09
BOJ,2018-04-27
BOJ,2018-06-15
BOJ,2018-07-31
BOJ,2018-09-19
BOJ,2018-10-31
BOJ,2018-12-20
BOJ,2019-01-23
BOJ,2019-03-15
BOJ,2019-04-25
BOJ,2019-06-20
BOJ,2019-07-30
BOJ,2019-09-19
BOJ,2019-10-31
BOJ,2019-12-19
BOJ,2020-01-21
BOJ,2020-03-16
BOJ,2020-04-27
BOJ,2020-05-22
BOJ,2020-06-16
BOJ,2020-07-15
BOJ,2020-09-17
BOJ,2020-10-29
BOJ,2020-12-18
BOJ,2021-01-21
BOJ,2021-03-19
BOJ,2021-04-27
BOJ,2021-06-18
BOJ,2021-07-16
BOJ,2021-09-22
BOJ,2021-10-28
BOJ,2021-12-17
BOJ,2022-01-18
BOJ,2022-03-18
BOJ,2022-04-28
BOJ,2022-06-17
BOJ,2022-07-21
BOJ,2022-09-22
BOJ,2022-10-28
BOJ,2022-12-20
BOJ,2023-01-18
BOJ,2023-03-10
BOJ,2023-04-28
BOJ,2023-06-16
BOJ,2023-07-28
BOJ,2023-09-22
BOJ,2023-10-31
BOJ,2023-12-19
BOJ,2024-01-23
BOJ,2024-03-19
BOC,1999-01-04
BOC,1999-03-31
BOC,1999-05-04
BOC,1999-11-17
BOC,2000-02-03
BOC,2000-03-22
BOC,2000-05-17
BOC,2001-01-23
BOC,2001-03-06
BOC,2001-04-17
BOC,2001-05-29
BOC,2001-07-17
BOC,2001-08-28
BOC,2001-09-17
BOC,2001-10-23
BOC,2001-11-27
BOC,2002-01-15
BOC,2002-04-16
BOC,2002-06-04
BOC,2002-07-16
BOC,2003-03-04
BOC,2003-04-15
BOC,2003-07-15
BOC,2003-09-03
BOC,2004-01-20
BOC,2004-03-02
BOC,2004-04-13
BOC,2004-09-08
BOC,2004-10-19
BOC,2005-09-07
BOC,2005-10-18
BOC,2005-12-06
BOC,2006-01-24
BOC,2006-03-07
BOC,2006-04-25
BOC,2006-05-24
BOC,2007-05-29
BOC,2007-07-10
BOC,2007-09-05
BOC,2007-10-16
BOC,2007-12-04
BOC,2008-01-22
BOC,2008-03-04
BOC,2008-04-22
BOC,2008-06-10
BOC,2008-07-15
BOC,2008-09-03
BOC,2008-10-08
BOC,2008-10-21
BOC,2008-12-09
BOC,2009-01-20
BOC,2009-03-03
BOC,2009-04-21
BOC,2009-06-04
BOC,2009-07-21
BOC,2009-09-10
BOC,2009-10-20
BOC,2009-12-08
BOC,2010-01-19
BOC,2010-03-02
BOC,2010-04-20
BOC,2010-06-01
BOC,2010-07-20
BOC,2010-09-08
BOC,2010-10-19
BOC,2010-12-07
BOC,2011-01-18
BOC,2011-03-01
BOC,2011-04-12
BOC,2011-05-31
BOC,2011-07-19
BOC,2011-09-07
BOC,2011-10-25
BOC,2011-12-06
BOC,2012-01-17
BOC,2012-03-08
BOC,2012-04-17
BOC,2012-06-05
BOC,2012-07-17
BOC,2012-09-05
BOC,2012-10-23
BOC,2012-12-04
BOC,2013-01-23
BOC,2013-03-06
BOC,2013-04-17
BOC,2013-05-29
BOC,2013-07-17
BOC,2013-09-04
BOC,2013-10-23
BOC,2013-12-04
BOC,2014-01-22
BOC,2014-03-05
BOC,2014-04-16
BOC,2014-06-04
BOC,2014-07-16
BOC,2014-09-03
BOC,2014-10-22
BOC,2014-12-03
BOC,2015-01-21
BOC,2015-03-04
BOC,2015-04-15
BOC,2015-05-27
BOC,2015-07-15
BOC,2015-09-09
BOC,2015-10-21
BOC,2015-12-02
BOC,2016-01-20
BOC,2016-03-09
BOC,2016-04-13
BOC,2016-05-25
BOC,2016-07-13
BOC,2016-09-07
BOC,2016-10-19
BOC,2016-12-07
BOC,2017-01-18
BOC,2017-03-01
BOC,2017-04-12
BOC,2017-05-24
BOC,2017-07-12
BOC,2017-09-06
BOC,2017-10-25
BOC,2017-12-06
BOC,2018-01-17
BOC,2018-03-07
BOC,2018-04-18
BOC,2018-05-30
BOC,2018-07-11
BOC,2018-09-05
BOC,2018-10-24
BOC,2018-12-05
BOC,2019-01-09
BOC,2019-03-06
BOC,2019-04-24
BOC,2019-05-29
BOC,2019-07-10
BOC,2019-09-04
BOC,2019-10-30
BOC,2019-12-04
BOC,2020-01-22
BOC,2020-03-04
BOC,2020-03-13
BOC,2020-03-27
BOC,2020-04-15
BOC,2020-06-03
BOC,2020-07-15
BOC,2020-09-09
BOC,2020-10-28
BOC,2020-12-09
BOC,2021-01-20
BOC,2021-03-10
BOC,2021-04-21
BOC,2021-06-09
BOC,2021-07-14
BOC,2021-09-08
BOC,2021-10-27
BOC,2021-12-08
BOC,2022-01-26
BOC,2022-03-02
BOC,2022-04-13
BOC,2022-06-01
BOC,2022-07-13
BOC,2022-09-07
BOC,2022-10-26
BOC,2022-12-07
BOC,2023-01-25
BOC,2023-03-08
BOC,2023-04-12
BOC,2023-06-07
BOC,2023-07-12
BOC,2023-09-06
BOC,2023-10-25
BOC,2023-12-06
BOC,2024-01-24
BOC,2024-03-06
BOC,2024-04-10
SNB,2000-01-20
SNB,2000-02-03
SNB,2000-03-23
SNB,2000-06-15
SNB,2000-09-14
SNB,2000-12-08
SNB,2001-03-22
SNB,2001-06-14
SNB,2001-09-17
SNB,2001-09-24
SNB,2001-12-07
SNB,2002-03-21
SNB,2002-05-02
SNB,2002-06-04
SNB,2002-06-26
SNB,2002-09-19
SNB,2002-12-13
SNB,2003-03-20
SNB,2003-06-13
SNB,2003-09-18
SNB,2003-12-12
SNB,2004-03-18
SNB,2004-06-17
SNB,2004-09-16
SNB,2004-12-16
SNB,2005-03-17
SNB,2005-06-16
SNB,2005-09-15
SNB,2005-12-15
SNB,2006-03-16
SNB,2006-06-15
SNB,2006-09-14
SNB,2006-12-14
SNB,2007-03-15
SNB,2007-06-14
SNB,2007-09-13
SNB,2007-12-13
SNB,2008-03-13
SNB,2008-06-19
SNB,2008-09-18
SNB,2008-10-08
SNB,2008-11-06
SNB,2008-11-20
SNB,2008-12-11
SNB,2009-03-12
SNB,2009-06-18
SNB,2009-09-17
SNB,2009-12-10
SNB,2010-03-11
SNB,2010-06-17
SNB,2010-09-16
SNB,2010-12-16
SNB,2011-03-17
SNB,2011-06-16
SNB,2011-08-03
SNB,2011-08-10
SNB,2011-08-17
SNB,2011-09-15
SNB,2011-12-15
