,BBfull,BBOU,S&P 500
2018-05-14,92889.95434141159,108551.32434368134,101273.08020494043
2018-05-15,92482.33792066574,108658.96322345734,100580.15558359788
2018-05-16,93866.98855543137,108484.99026966095,100988.56750900514
2018-05-17,93444.41472005844,106734.51585865021,100902.1341893589
2018-05-18,93080.8447508812,106125.57928180695,100636.5401024702
2018-05-21,91936.93855237961,104340.22943973541,101379.9173667035
2018-05-22,93399.62270116806,107552.13725757599,101062.01409558635
2018-05-23,93953.81626272202,105450.6577577591,101390.3049418957
2018-05-24,93785.76991987228,104952.1864862442,101185.1707085232
2018-05-25,94465.3137755394,104717.68825626373,100946.65495626804
2018-05-29,95914.18063879013,104312.28720188141,99779.28893198882
2018-05-30,95510.11868810654,103901.68794345856,101046.0659526801
2018-05-31,97376.6188120842,104225.04568958282,100350.91348173226
2018-06-01,95955.71476316452,103631.73156833649,101439.64365998379
2018-06-04,94216.93249559402,103068.79857730865,101894.05252907118
2018-06-05,93581.48207521439,103129.16755771637,101965.64257431464
2018-06-06,92211.76691675186,103001.69229602814,102839.222252269
2018-06-07,94492.49874353409,104332.406416893,102765.7756656878
2018-06-08,93445.43716859818,103326.84784603119,103087.0116549137
2018-06-11,92461.60287237167,106481.58125972748,103197.18153478552
2018-06-12,91354.64864110947,105557.8788099289,103377.09397486226
2018-06-13,90667.42851877213,106966.81247615814,102960.88457583645
2018-06-14,89962.46013498306,106729.82631206512,103215.35752729705
2018-06-15,89329.6929154396,106242.30086421967,103110.37690687172
2018-06-18,88930.00454950333,105794.02035427094,102891.15107193074
2018-06-19,88210.89546442032,105918.18714046478,102477.17857880944
2018-06-20,87822.74304437637,106496.14471149445,102652.6353196756
2018-06-21,86842.17456293106,105332.94057559967,102001.25194280258
2018-06-22,86224.10103273392,104174.80042934418,102191.17159350475
2018-06-25,87113.47952890396,102609.85689640045,100788.63159137835
2018-06-26,87186.94726419449,103055.26178264618,101010.8278924597
2018-06-27,87109.60382318497,101501.56808757782,100141.69485741673
2018-06-28,86828.63526773453,102103.52525234222,100760.43933194217
2018-06-29,87526.868206501,102698.04389476776,100836.85638466377
2018-07-02,88864.13209676743,104009.859541893,101146.21956562728
2018-07-03,88645.97295999527,102951.42337322235,100645.81375285974
2018-07-05,88474.69693231583,103598.81932353973,101513.46155483254
2018-07-06,88580.23395776749,104341.02141094208,102374.42580798944
2018-07-09,90047.41449022293,106419.97701931,103277.67392215096
2018-07-10,90480.56180047989,106166.00103855133,103636.38487750177
2018-07-11,90232.9263882637,106435.36176586151,102901.16733885539
2018-07-12,89757.71896409988,106871.96254062653,103801.45404317573
2018-07-13,89539.35779619217,106762.43777561188,103913.48046438528
2018-07-16,91404.96432542801,106780.51284885406,103806.64330262221
2018-07-17,90281.2407078743,106475.09603977203,104219.1396189725
2018-07-18,90170.8836941719,106782.26736545563,104444.30638619428
2018-07-19,90615.56543779373,107632.34672641754,104031.43876157643
2018-07-20,89777.17180109024,108107.37522602081,103932.77038169946
2018-07-23,89908.71951341629,108202.2477350235,104123.80395720429
2018-07-24,91000.84207010269,108856.8610239029,104621.61061209896
2018-07-25,88111.61905908585,107314.5921831131,105573.83519238024
2018-07-26,88774.06952905655,106528.07590198517,105253.70407165779
2018-07-27,89634.62395715714,107429.91938495636,104563.00729992054
2018-07-30,89039.2858338356,108401.98137378693,103961.33394940318
2018-07-31,89872.36550760269,108248.10582637787,104469.15687122251
2018-08-01,91259.45728349686,110958.06781291962,104360.47222442088
2018-08-02,90385.49288606644,109310.88457393646,104874.59833048936
2018-08-03,90326.98176813126,107988.46125411987,105361.65515822351
2018-08-06,90235.84442186356,108192.20412063599,105734.44865884361
2018-08-07,92992.73557329178,108485.13977146149,106033.06201264657
2018-08-08,92936.79463243484,108754.17110061646,106005.24106147797
2018-08-09,92547.18537759781,108785.50880432129,105852.41601233395
2018-08-10,93533.09724092484,110122.80083656311,105099.39378944358
2018-08-13,93966.1561627388,110788.58162212372,104678.36643923885
2018-08-14,93485.28248262405,110359.54841709137,105347.18319208827
2018-08-15,93618.27982568741,109132.55571842194,104546.31654047921
2018-08-16,93243.24851465225,108491.11782932281,105374.26152672178
2018-08-17,92620.61695718765,107663.22831439972,105724.43239191895
2018-08-20,92748.59947443008,107468.15586948395,105981.13319298485
2018-08-21,93207.24288225174,107743.40960788727,106200.35902792582
2018-08-22,93378.9921450615,108158.52053165436,106158.07516692117
2018-08-23,91218.3651394844,108128.69006443024,105978.534035112
2018-08-24,90362.88707780838,108277.38819980621,106635.47797969903
2018-08-27,90286.85850191116,109458.5645608902,107453.41575531618
2018-08-28,89673.00370836258,108577.39636325836,107482.35063128747
2018-08-29,88948.19875383377,107879.92894077301,108095.15417353211
2018-08-30,89714.86441087723,108372.6594285965,107616.25707138483
2018-08-31,88937.54737710953,107791.58244419098,107630.72903752007
2018-09-04,87727.8132557869,107360.19294452667,107452.67313878109
2018-09-05,89048.27306222916,108082.80308532715,107151.46968340446
2018-09-06,87972.65360116959,106051.85466384888,106760.11982570608
2018-09-07,88076.82390642166,105740.74401664734,106523.82286675704
2018-09-10,86846.56527757645,105995.41755104065,106725.98663398913
2018-09-11,86842.2545800209,105949.49242401123,107125.12490900683
2018-09-12,86598.92516183853,105417.11756324768,107163.33343536763
2018-09-13,87567.55597352982,107293.32004356384,107729.39741739705
2018-09-14,88077.95731210709,108514.09013175964,107759.07490990341
2018-09-17,90013.64209794998,108671.24721050262,107158.88679245624
2018-09-18,90771.98075532913,109816.23879909515,107734.2244248752
2018-09-19,92264.18433046341,110638.44651699066,107869.24478977521
2018-09-20,91381.11288118362,110287.75200939178,108715.00351656099
2018-09-21,91399.80492448807,110394.55173778534,108674.93844886242
2018-09-24,94154.21591234207,111493.97344875336,108292.8712978528
2018-09-25,95128.65177965164,111927.05581188202,108151.53869240444
2018-09-26,94324.15902376175,110306.40092372894,107795.798203194
2018-09-27,95883.46385240555,110977.78298473358,108093.66894046191
2018-09-28,96009.56169939041,111532.07517719269,108092.9263239268
2018-10-01,96212.34021043777,111147.82393932343,108486.50403123046
2018-10-02,94501.98789644241,112634.5324010849,108443.4684973915
2018-10-03,94187.82637453079,112800.38174152374,108520.62816664822
2018-10-04,93859.2369017601,112009.38863563538,107634.07081192802
2018-10-05,94575.22763776779,112340.09359359741,107039.07195392734
2018-10-08,92460.77197313309,111854.4056558609,106996.7790366235
2018-10-09,92390.29893922806,111177.89434528351,106845.06791228215
2018-10-10,85038.79154634476,104332.29079151154,103333.68713275575
2018-10-11,82772.97991609573,99990.39350032806,101207.80240024532
2018-10-12,84817.67351198196,102122.57827663422,102645.58046259213
2018-10-15,83584.07121610641,101708.14045906067,102039.46046916339
2018-10-16,87506.3536696434,107109.23439216614,104232.85991227344
2018-10-17,87460.15683412552,104337.59818172455,104206.52419417501
2018-10-18,84366.01183080673,99942.25874328613,102706.79198894261
2018-10-19,82691.33560037613,99689.16265010834,102669.69738738447
2018-10-22,81682.34013795853,99178.18624210358,102228.26619506291
2018-10-23,79004.30282354355,96001.37965202332,101664.80137090634
2018-10-24,74093.27225446701,91448.8551864624,98526.97482113357
2018-10-25,76159.22451639175,94169.39949131012,100362.04367345956
2018-10-26,75920.92085123062,94977.08853435516,98623.04404313769
2018-10-29,74211.12222719193,93519.77217578888,97976.11636547529
2018-10-30,75905.0228524208,94744.02787685394,99511.0866309281
2018-10-31,77557.41812181473,97323.48002910614,100590.9144670576
2018-11-01,80118.99315690994,98539.89132213593,101652.93761894316
2018-11-02,79586.28931856155,98159.11069011688,101010.8278924597
2018-11-05,80467.96531534195,98761.8006772995,101576.52056622154
2018-11-06,80439.03518915176,98638.61497783661,102212.31805215667
2018-11-07,82205.48324632645,99618.31475353241,104380.12439370342
2018-11-08,81429.60464334488,99496.57108211517,104118.24338949024
2018-11-09,82260.67712259293,100543.97244548798,103160.45824149491
2018-11-12,84241.86488962173,102466.30738353729,101128.04357311575
2018-11-13,84603.22913789749,102557.0572423935,100978.17993381295
2018-11-14,86234.79505777359,103796.77589321136,100214.03657549448
2018-11-15,85145.45484781265,102827.67550945282,101275.67936281327
2018-11-16,83834.96102762222,102058.8722486496,101500.84613003505
2018-11-19,85527.54291582108,102550.92869472504,99811.55652606883
2018-11-20,85046.50128412247,104172.99037456512,97999.85292570086
2018-11-21,86279.34077501297,104598.38207530975,98298.09497123628
2018-11-23,85481.39062166214,104699.32768535614,97653.76645144673
2018-11-26,86440.81544542313,104884.87564373016,99170.56072438801
2018-11-27,85289.3672451973,104467.83989238739,99494.02456321922
2018-11-28,86559.41051149368,104829.688164711,101779.79825825631
2018-11-29,87345.01390886307,104633.29673099518,101557.60195717493
2018-11-30,86550.83324480057,104306.82720279694,102387.40348475525
2018-12-03,85664.81927347183,103848.47821521759,103507.6676968509
