,walk_forward_equity
2019-02-13,116514.77774429321
2019-02-14,115505.76185035706
2019-02-15,118290.97903823853
2019-02-19,118733.74934959412
2019-02-20,119101.32077980042
2019-02-21,118048.7366847992
2019-02-22,118068.95307731628
2019-02-25,118799.88628196716
2019-02-26,118341.1306400299
2019-02-27,119028.2848033905
2019-02-28,119372.81370353699
2019-03-01,120475.21334075928
2019-03-04,119726.2749633789
2019-03-05,120962.36038589478
2019-03-06,120545.47535705566
2019-03-07,118679.91502380371
2019-03-08,117729.24723243713
2019-03-11,121680.42137908936
2019-03-12,122043.51646232605
2019-03-13,124671.79873085022
2019-03-14,124941.72522544861
2019-03-15,128208.28262901306
2019-03-18,129897.78719902039
2019-03-19,129460.5456867218
2019-03-20,127059.61783599854
2019-03-21,127153.74077033997
2019-03-22,120263.6652097702
2019-03-25,119875.85823059082
2019-03-26,123693.28939914703
2019-03-27,122797.51110649109
2019-03-28,125657.02955436707
2019-03-29,127222.86967945099
2019-04-01,136306.77658367157
2019-04-02,136634.0098552704
2019-04-03,139030.81778621674
2019-04-04,141130.44304084778
2019-04-05,143196.82112026215
2019-04-08,143112.54290390015
2019-04-09,141657.62444496155
2019-04-10,142451.55130577087
2019-04-11,142518.92727470398
2019-04-12,143071.22305870056
2019-04-15,143103.02662467957
2019-04-16,148906.56461906433
2019-04-17,146824.61966705322
2019-04-18,149580.2441558838
2019-04-22,149227.42009544373
2019-04-23,150932.42704582214
2019-04-24,151603.50126457214
2019-04-25,152156.6783809662
2019-04-26,154585.81438064575
2019-04-29,152585.67949295044
2019-04-30,155410.90606307983
2019-05-01,152801.65371513367
2019-05-02,154084.1536836624
2019-05-03,155170.0882577896
2019-05-06,152584.6872587204
2019-05-07,148046.5402984619
2019-05-08,148674.6276512146
2019-05-09,147875.01064491272
2019-05-10,145040.1635274887
2019-05-13,137823.7960729599
2019-05-14,141233.7739057541
2019-05-15,140730.2732887268
2019-05-16,142170.82084846497
2019-05-17,140685.0254688263
2019-05-20,139570.92611408234
2019-05-21,142212.72689723969
2019-05-22,139179.10308551788
2019-05-23,136201.92041110992
2019-05-24,137128.90437984467
2019-05-28,134844.95437431335
2019-05-29,134709.75586414337
2019-05-30,133556.00056648254
2019-05-31,130395.48537540436
2019-06-03,131195.57639408112
2019-06-04,134609.48093509674
2019-06-05,134831.42287445068
2019-06-06,135839.80014324188
2019-06-07,137204.47319698334
2019-06-10,137767.78308677673
2019-06-11,138282.20770835876
2019-06-12,137220.6446313858
2019-06-13,138011.9500131607
2019-06-14,137942.11665821075
2019-06-17,138025.25073719025
2019-06-18,138115.03481388092
2019-06-19,138106.7206773758
2019-06-20,138106.7206773758
2019-06-21,137189.5838289261
2019-06-24,136923.3155183792
2019-06-25,136690.86355304718
2019-06-26,135751.2422056198
2019-06-27,138225.3354024887
2019-06-28,139174.03802585602
2019-07-01,139200.41317272186
2019-07-02,141613.81858158112
2019-07-03,143775.55238437653
2019-07-05,142356.3377008438
2019-07-08,142813.80887126923
2019-07-09,141751.87959003448
2019-07-10,143315.17398929596
2019-07-11,142941.70027065277
2019-07-12,144189.8174276352
2019-07-15,144890.04436969757
2019-07-16,145767.83390331268
2019-07-17,143853.61634349823
2019-07-18,145975.25954914093
2019-07-19,144846.19600391388
2019-07-22,144127.50434207916
2019-07-23,147776.63436985016
2019-07-24,150995.55386066437
2019-07-25,151054.56696033478
2019-07-26,151213.551030159
2019-07-29,148947.56743717194
2019-07-30,151488.54123210907
2019-07-31,149125.83822727203
2019-08-01,141075.09736347198
2019-08-02,142343.93881320953
2019-08-05,133199.11633777618
2019-08-06,136488.93640327454
2019-08-07,137475.94546985626
2019-08-08,144056.80477523804
2019-08-09,140821.06800556183
2019-08-12,137586.53991508484
2019-08-13,140380.84537124634
2019-08-14,132031.00865364075
2019-08-15,133369.0040845871
2019-08-16,137392.818816185
2019-08-19,139946.8087310791
2019-08-20,137824.24382400513
2019-08-21,138379.2330980301
2019-08-22,139076.3674917221
2019-08-23,136212.22322559357
2019-08-26,137367.80945205688
2019-08-27,136546.37267112732
2019-08-28,138208.23931121826
2019-08-29,140490.59129619598
2019-08-30,140943.40781211853
2019-09-03,140813.5439300537
2019-09-04,142158.7958316803
2019-09-05,143957.79138469696
2019-09-06,145131.2653656006
2019-09-09,147027.88861370087
2019-09-10,144348.56330394745
2019-09-11,144721.06235599518
2019-09-12,147652.9555196762
2019-09-13,145712.00159358978
2019-09-16,144225.49583911896
2019-09-17,149876.03035068512
2019-09-18,149562.39764499664
2019-09-19,149733.48135471344
2019-09-20,148240.1189508438
2019-09-23,149257.3391122818
2019-09-24,148826.94252872467
2019-09-25,148364.54121494293
2019-09-26,147453.58030033112
2019-09-27,146680.73209095
2019-09-30,148206.65930652618
2019-10-01,147095.74588871002
2019-10-02,142152.86377429962
2019-10-03,144647.4039964676
2019-10-04,148919.73301792145
2019-10-07,146147.46394062042
