,p5,p25,p50,p75,p95
2023-07-20,115288.18779594911,203760.9439417164,300811.8430390437,441360.53987799946,772491.5463929087
2023-07-21,114311.25931092697,203769.6622292985,302035.15927011677,440702.68653031636,771831.1723824943
2023-07-24,115731.55989047198,203261.97271567222,303905.69023020804,443267.63926193875,771536.9452316067
2023-07-25,116041.20380180965,204070.89006476034,303495.58859834616,443049.97018225683,771884.1637414383
2023-07-26,115640.04421167687,203223.1982328974,302909.19912295963,443559.4147963098,770562.6187261943
2023-07-27,115471.86057188427,204022.8113080815,303141.9315168933,443136.85627759964,769260.0258572963
2023-07-28,115223.24285691562,203417.83653678437,302924.70462885546,443211.13284949324,768217.0842553866
2023-07-31,115387.28904823858,203058.12000463472,303764.5684167674,440296.2289276523,768200.7750515919
2023-08-01,115614.73506244243,202258.50967538235,303833.1794240407,441785.66641982045,770525.264984235
2023-08-02,115226.6090897711,202143.0392914848,303910.1757574928,442371.55851836695,772707.8864481356
2023-08-03,115105.4221705576,202546.02225468657,303000.6880105429,444127.0352965861,772781.5375079298
2023-08-04,115046.364281765,202640.0632581226,304696.96714358707,443519.46589087613,775583.723121573
2023-08-07,115526.76822695546,202768.64724293072,304515.41871537035,443448.0058299516,778788.6850365556
2023-08-08,115038.5089089795,203120.86827506326,304189.95427019894,444891.15138217836,774885.2069278081
2023-08-09,114868.85450120583,203045.61977051606,304969.39629456477,444578.7206256294,774586.1076224212
2023-08-10,115588.93730935582,202736.3712915445,305476.59789028415,442927.43436554744,777351.7633431475
2023-08-11,114799.1549091227,202548.72967896808,306369.0578280382,444415.1594045565,776713.4318329402
2023-08-14,114714.37966746803,203829.67160760186,306884.2267251091,446401.1979195978,777601.0524414146
2023-08-15,115706.86123352108,203279.09600405025,307564.88568029227,446623.269751845,774498.7854975498
2023-08-16,115526.70023790684,203432.67535118136,308671.0647152694,443380.48186649696,772974.6460061666
2023-08-17,115868.1827915843,203354.57959345606,307951.3151429355,444452.7286394526,779468.3390594531
2023-08-18,116193.67420215387,203043.15276389103,309048.64882264426,446136.4887361441,779426.9562903115
2023-08-21,115474.09729461197,203117.77017783414,306867.9884074841,446426.01081021485,781476.8622030688
2023-08-22,116116.41055590386,203006.51209058054,307940.3509496023,447148.0635782237,779823.0894598599
2023-08-23,114978.92674993598,202628.38815121405,306620.35340575466,448244.0479154201,786141.6764861246
2023-08-24,115673.57536290138,203458.03226836227,306896.0059891952,447480.83813857444,783067.5547313225
2023-08-25,115983.91347287699,204273.56706619082,307443.1645911071,449427.0022827054,785269.9761208565
2023-08-28,114919.98950592084,203382.71433007822,306944.560665883,448178.02092511527,786072.747067558
2023-08-29,116915.34767057275,203377.71572686074,305914.3261030294,448327.0192037911,783283.0009207162
2023-08-30,117224.11922610879,203644.0763313643,306653.458997963,449539.2752539799,785451.058314936
2023-08-31,116822.1301883233,203520.7957328673,307302.9912559488,450692.85194597545,788896.4731536225
2023-09-01,116548.00114559496,203120.98685540268,308703.07022617117,450355.1113712309,789026.2605437174
2023-09-05,116874.32875456774,202861.40409158033,309347.78183125553,451435.28118462727,784174.1703243142
2023-09-06,118023.7665356957,203140.81981576706,309535.3373963225,451886.05019614997,783326.2757152383
2023-09-07,117329.68196119468,204742.86852528987,308720.3528507947,451970.3931674057,782635.8664189905
2023-09-08,118032.284388776,204236.14489200147,309848.62402611994,453024.59644786036,783397.7963037492
