ticker,direction,entry_date,exit_date,entry_price,exit_price,shares,days_held,pnl_dollars,pnl_pct,reason
AMT,short,2019-01-31,2019-02-14,141.1385040283203,143.54742431640625,172.0,10,-414.33428955078125,-0.017067775407358526,max_holding
BXP,short,2019-01-31,2019-02-14,92.7999038696289,93.67253112792969,153.0,10,-133.51197052001953,-0.009403320713852274,max_holding
KO,short,2019-02-04,2019-02-14,39.187599182128906,36.275386810302734,613.0,8,1785.1861839294434,0.0743146411774635,mean_revert
EOG,long,2019-02-08,2019-02-15,68.14749908447266,73.85716247558594,348.0,5,1986.9628601074219,0.08378390209207578,mean_revert
AES,short,2019-02-04,2019-02-19,12.746618270874023,13.011696815490723,1331.0,10,-352.81954288482666,-0.020795989884030867,max_holding
APD,short,2019-02-04,2019-02-19,139.4490509033203,146.32620239257812,172.0,10,-1182.8700561523438,-0.04931658870898824,stop_loss
EMR,short,2019-02-04,2019-02-19,56.9614372253418,57.57592010498047,357.0,10,-219.37038803100586,-0.010787699706518153,max_holding
TECH,short,2019-02-05,2019-02-20,45.49555587768555,46.81241989135742,252.0,10,-331.8497314453125,-0.028944893369634912,max_holding
L,long,2019-02-11,2019-02-20,43.18619155883789,45.97740173339844,547.0,6,1526.7919654846191,0.0646320055973849,mean_revert
AIG,long,2019-02-14,2019-02-20,33.111454010009766,35.66546630859375,717.0,3,1831.2268180847168,0.0771338008234822,mean_revert
FIX,short,2019-02-14,2019-02-20,47.90106201171875,49.47220993041992,496.0,3,-779.2893676757812,-0.032799855634031636,stop_loss
AXP,short,2019-02-06,2019-02-21,95.15679931640625,96.65269470214844,249.0,10,-372.4779510498047,-0.01572032052873258,max_holding
CAH,short,2019-02-07,2019-02-22,44.22531509399414,44.755210876464844,478.0,10,-253.2901840209961,-0.011981729951374925,max_holding
FIX,short,2019-02-20,2019-02-22,49.47220993041992,52.154659271240234,461.0,2,-1236.609146118164,-0.05422133647542807,stop_loss
EME,short,2019-02-20,2019-02-22,67.02661895751953,70.06309509277344,354.0,2,-1074.9125518798828,-0.045302540729055416,stop_loss
