,static_equity
2020-03-11,89426.02698278427
2020-03-12,89426.02698278427
2020-03-13,89426.02698278427
2020-03-16,89426.02698278427
2020-03-17,89426.02698278427
2020-03-18,89426.02698278427
2020-03-19,89426.02698278427
2020-03-20,89426.02698278427
2020-03-23,89426.02698278427
2020-03-24,89426.02698278427
2020-03-25,89426.02698278427
2020-03-26,89426.02698278427
2020-03-27,89426.02698278427
2020-03-30,89426.02698278427
2020-03-31,89426.02698278427
2020-04-01,89426.02698278427
2020-04-02,89426.02698278427
2020-04-03,89426.02698278427
2020-04-06,89426.02698278427
2020-04-07,89426.02698278427
2020-04-08,89426.02698278427
2020-04-09,89426.02698278427
2020-04-13,89426.02698278427
2020-04-14,89426.02698278427
2020-04-15,89426.02698278427
2020-04-16,89426.02698278427
2020-04-17,89426.02698278427
2020-04-20,89426.02698278427
2020-04-21,89426.02698278427
2020-04-22,89426.02698278427
2020-04-23,89426.02698278427
2020-04-24,89426.02698278427
2020-04-27,89426.02698278427
2020-04-28,89426.02698278427
2020-04-29,89426.02698278427
2020-04-30,89426.02698278427
2020-05-01,89426.02698278427
2020-05-04,89426.02698278427
2020-05-05,89426.02698278427
2020-05-06,89426.02698278427
2020-05-07,89426.02698278427
2020-05-08,89426.02698278427
2020-05-11,89426.02698278427
2020-05-12,89426.02698278427
2020-05-13,89426.02698278427
2020-05-14,89426.02698278427
2020-05-15,89426.02698278427
2020-05-18,89426.02698278427
2020-05-19,89426.02698278427
2020-05-20,89426.02698278427
2020-05-21,89426.02698278427
2020-05-22,89426.02698278427
2020-05-26,89426.02698278427
2020-05-27,89426.02698278427
2020-05-28,89426.02698278427
2020-05-29,89426.02698278427
2020-06-01,89426.02698278427
2020-06-02,89426.02698278427
2020-06-03,89426.02698278427
2020-06-04,89426.02698278427
2020-06-05,89426.02698278427
2020-06-08,89426.02698278427
2020-06-09,89426.02698278427
2020-06-10,89426.02698278427
2020-06-11,89426.02698278427
2020-06-12,89426.02698278427
2020-06-15,89426.02698278427
2020-06-16,89426.02698278427
2020-06-17,89426.02698278427
2020-06-18,89426.02698278427
2020-06-19,89426.02698278427
2020-06-22,89585.52306127548
2020-06-23,89587.69720983505
2020-06-24,89628.29639577866
2020-06-25,89823.83996725082
2020-06-26,89114.83078145981
2020-06-29,89748.95636892319
2020-06-30,89933.5565123558
2020-07-01,90018.64406728745
2020-07-02,90021.6078619957
2020-07-06,90169.56450033188
2020-07-07,90030.04530477524
2020-07-08,90056.81852865219
2020-07-09,90025.9288649559
2020-07-10,90277.1802535057
2020-07-13,90233.97606039047
2020-07-14,90343.28176259995
2020-07-15,90864.5819106102
2020-07-16,90692.21468496323
2020-07-17,90597.62427663803
2020-07-20,90357.99517965317
2020-07-21,90713.23706960678
2020-07-22,90843.56046438217
2020-07-23,90759.47749471664
2020-07-24,90759.47749471664
2020-07-27,90759.47749471664
2020-07-28,90961.35527276993
2020-07-29,91338.192050457
2020-07-30,91513.15533208847
2020-07-31,91266.41634893417
2020-08-03,91369.59622144699
2020-08-04,91797.51504659653
2020-08-05,92180.27173757553
2020-08-06,92155.8670554161
2020-08-07,92456.7829375267
2020-08-10,94591.27307271957
2020-08-11,94032.09723806381
2020-08-12,94377.11992788315
2020-08-13,94461.68644094467
2020-08-14,94591.42878866196
2020-08-17,95196.37114095688
2020-08-18,94993.44940328598
2020-08-19,94806.82580709457
2020-08-20,94450.58840322495
2020-08-21,94312.6225142479
2020-08-24,94500.23291158676
2020-08-25,94393.81289052963
2020-08-26,94209.24772787094
2020-08-27,94236.09316396713
2020-08-28,94435.25366353989
2020-08-31,94169.2186217308
2020-09-01,94553.91369390488
2020-09-02,95062.46572637558
2020-09-03,93289.66539525986
2020-09-04,93039.90074300766
2020-09-08,92390.56267309189
2020-09-09,94016.5370516777
2020-09-10,93005.5021367073
2020-09-11,93893.65912389755
2020-09-14,94972.8766913414
2020-09-15,95796.78513002396
2020-09-16,96303.82704210281
2020-09-17,95973.0250287056
2020-09-18,94147.60080385208
2020-09-21,92218.7863984108
2020-09-22,92831.57860422134
2020-09-23,90581.96449136734
2020-09-24,90828.81353235245
2020-09-25,91773.29278421402
2020-09-28,94331.29429864883
2020-09-29,92731.16073083878
2020-09-30,93805.87447977066
2020-10-01,93679.0419831276
2020-10-02,94882.02717447281
2020-10-05,96722.62612771988
2020-10-06,96679.88520669937
2020-10-07,97250.65327310562
2020-10-08,97609.23221445084
2020-10-09,97609.23221445084
2020-10-12,97609.23221445084
2020-10-13,97609.23221445084
2020-10-14,97609.23221445084
2020-10-15,97609.23221445084
2020-10-16,97609.23221445084
2020-10-19,97609.23221445084
2020-10-20,97609.23221445084
2020-10-21,97339.24184656143
2020-10-22,97562.5670876503
2020-10-23,97449.23893976212
2020-10-26,97199.24935770035
2020-10-27,96826.95197534561
2020-10-28,94821.32564020157
2020-10-29,97104.63772058487
2020-10-30,97290.90850687027
2020-11-02,100937.62002420425
2020-11-03,104592.09626245499
2020-11-04,102956.40906190872
2020-11-05,106573.40772485733
2020-11-06,106327.4347538948
2020-11-09,114814.25260782242
2020-11-10,116508.12273073196
2020-11-11,115356.82843637466
2020-11-12,115517.90601968765
2020-11-13,115670.73218011856
2020-11-16,115747.14601755142
2020-11-17,115769.42789697647
2020-11-18,115721.67322397232
2020-11-19,115998.67092370987
2020-11-20,115794.90069055557
2020-11-23,115686.65494775772
2020-11-24,115686.65494775772
2020-11-25,115686.65494775772
2020-11-27,115686.65494775772
2020-11-30,115686.65494775772
2020-12-01,115686.65494775772
2020-12-02,115686.65494775772
2020-12-03,115749.01907205582
2020-12-04,115626.8910164833
2020-12-07,115897.13044595718
2020-12-08,115767.20400094986
2020-12-09,116266.10714197159
2020-12-10,116372.64170312881
2020-12-11,116501.16771173477
2020-12-14,116353.50644159317
2020-12-15,116440.80559396744
2020-12-16,116276.20907068253
2020-12-17,117199.0192360878
2020-12-18,116685.35624170303
2020-12-21,116114.85553979874
2020-12-22,116374.28855371475
2020-12-23,116366.75275659561
2020-12-24,116587.87719964981
2020-12-28,116709.46386575699
2020-12-29,116409.96767282486
2020-12-30,117126.90948343277
2020-12-31,117732.9603524208
2021-01-04,117647.08754968643
2021-01-05,118788.5548081398
2021-01-06,120847.78526544571
2021-01-07,120893.22032022476
2021-01-08,120799.56489419937
2021-01-11,120476.3988404274
2021-01-12,120307.13338327408
2021-01-13,120725.33621072769
2021-01-14,121266.28381204605
2021-01-15,121013.171438694
2021-01-19,120715.43744134903
2021-01-20,120923.6484246254
2021-01-21,120643.9825539589
2021-01-22,120533.06130838394
2021-01-25,121225.20652627945
2021-01-26,122302.63094186783
2021-01-27,121854.13464975357
2021-01-28,123304.03800058365
2021-01-29,121259.00990915298
2021-02-01,123161.54472970963
2021-02-02,124930.18228006363
2021-02-03,124381.07033395767
2021-02-04,125966.53281259537
2021-02-05,126866.4876999855
2021-02-08,127734.04823160172
2021-02-09,127736.60655069351
2021-02-10,127688.1390748024
2021-02-11,128131.79296731949
2021-02-12,128358.43047952652
2021-02-16,128358.43047952652
2021-02-17,128358.43047952652
2021-02-18,128358.43047952652
2021-02-19,128358.43047952652
2021-02-22,128358.43047952652
2021-02-23,128358.43047952652
2021-02-24,128358.43047952652
2021-02-25,128358.43047952652
2021-02-26,127691.17657327652
2021-03-01,128510.63777399063
2021-03-02,128099.6595902443
2021-03-03,127433.47555398941
2021-03-04,126607.59021615982
2021-03-05,129037.83183526993
2021-03-08,129387.95249414444
2021-03-09,130858.05130243301
2021-03-10,132630.87529230118
2021-03-11,134291.71954202652
2021-03-12,134355.08974695206
2021-03-15,135012.70608758926
2021-03-16,135219.37133264542
2021-03-17,135134.0443291664
2021-03-18,134588.57116174698
2021-03-19,134806.49071741104
2021-03-22,134858.3604683876
2021-03-23,134858.3604683876
2021-03-24,134920.93419885635
2021-03-25,135599.85439538956
2021-03-26,136203.6863808632
2021-03-29,135551.36028528214
2021-03-30,135903.33486413956
2021-03-31,136360.11937952042
2021-04-01,135856.4072213173
2021-04-05,136383.58585596085
2021-04-06,136444.5944466591
2021-04-07,136435.20759058
2021-04-08,136435.20759058
2021-04-09,136435.20759058
2021-04-12,136435.20759058
2021-04-13,136435.20759058
2021-04-14,136435.20759058
2021-04-15,136435.20759058
2021-04-16,136435.20759058
2021-04-19,136435.20759058
2021-04-20,136435.20759058
2021-04-21,136435.20759058
2021-04-22,136435.20759058
2021-04-23,136435.20759058
2021-04-26,136435.20759058
2021-04-27,136418.6411690712
2021-04-28,136464.20696496964
2021-04-29,136694.12256860733
2021-04-30,136882.60765314102
2021-05-03,137694.76188898087
2021-05-04,137415.41396570206
2021-05-05,136604.75940179825
2021-05-06,136123.37060022354
2021-05-07,137835.60301446915
2021-05-10,137237.80082178116
2021-05-11,136535.06022882462
2021-05-12,135697.69159173965
2021-05-13,138846.02392053604
2021-05-14,141545.2143959999
2021-05-17,141053.15769052505
2021-05-18,139564.00986337662
2021-05-19,138804.5556282997
2021-05-20,140068.42153024673
2021-05-21,139617.43368768692
2021-05-24,140870.26720666885
2021-05-25,141557.71056985855
2021-05-26,142121.3194413185
2021-05-27,141923.57708597183
2021-05-28,141890.81310129166
2021-06-01,142220.96907663345
2021-06-02,141987.6206727028
2021-06-03,142159.83961343765
2021-06-04,142117.4925751686
2021-06-07,141757.15124368668
2021-06-08,141829.01439523697
2021-06-09,141769.75745248795
2021-06-10,141852.85745477676
2021-06-11,142372.60723352432
2021-06-14,142113.22270059586
2021-06-15,142719.7626976967
2021-06-16,142358.64012002945
2021-06-17,139955.4422059059
2021-06-18,135804.69800806046
2021-06-21,141361.9291138649
2021-06-22,141556.66772317886
2021-06-23,140935.2898774147
2021-06-24,142484.58738183975
2021-06-25,143779.03593683243
2021-06-28,140289.40202569962
2021-06-29,139840.41233301163
2021-06-30,140880.62501382828
