range_day,range_width_pips,direction,trigger_kind,entry_time,exit_time,vix_at_entry,high_vix,entry_price,sl,tp,exit_price,sl_dist,r_multiple,exit_reason,hold_bars
2024-06-04,3.1000000000003247,long,fractal,2024-06-04 08:15:00+02:00,2024-06-04 08:40:00+02:00,13.109999656677246,False,1.0902465208968526,1.089785858423111,1.0904520707884444,1.0897693375262585,0.00044414157688892,-1.0743947322757557,stop,5
2024-06-05,3.8000000000004697,long,fractal,2024-06-05 07:45:00+02:00,2024-06-05 07:55:00+02:00,13.15999984741211,False,1.0877765208968526,1.0873975214317981,1.087941239284101,1.0879247183872485,0.00036247856820200027,0.4088448349676355,take_profit,2
2024-06-07,3.2999999999994145,short,fractal,2024-06-07 09:30:00+02:00,2024-06-07 10:15:00+02:00,12.579999923706055,False,1.0891134791031474,1.0898436312894286,1.0887731843552857,1.0887897052521383,0.0007136312894285951,0.45369906813975264,take_profit,9
2024-06-10,7.800000000000029,long,fractal,2024-06-10 09:15:00+02:00,2024-06-10 09:25:00+02:00,12.220000267028809,False,1.0755465208968527,1.0744494443454287,1.076070277827286,1.0760537569304334,0.0010805556545714803,0.46942147906474296,take_profit,2
2024-06-11,2.80000000000058,short,fractal,2024-06-11 07:50:00+02:00,2024-06-11 07:55:00+02:00,12.739999771118164,False,1.0768234791031475,1.0771016834491947,1.0767091582754027,1.0767256791722553,0.00026168344919459674,0.3737337274986727,take_profit,1
2024-06-12,4.100000000000215,long,fractal,2024-06-12 09:00:00+02:00,2024-06-12 09:15:00+02:00,12.850000381469727,False,1.0742965208968525,1.0736546338597641,1.0745926830701178,1.0736381129629116,0.0006253661402357,-1.0528359173599375,stop,3
2024-06-13,3.9999999999995595,short,choch,2024-06-13 07:30:00+02:00,2024-06-13 07:55:00+02:00,12.039999961853027,False,1.0802834791031475,1.0806232543043295,1.0801383728478353,1.080639775201182,0.0003232543043294225,-1.1022160981697675,stop,5
2024-06-14,5.9000000000009045,short,fractal,2024-06-14 07:45:00+02:00,2024-06-14 07:45:00+02:00,11.9399995803833,False,1.0735434791031475,1.0739677249222737,1.0733561375388634,1.073372658435716,0.0004077249222734923,0.4189605739062179,take_profit,0
2024-06-17,3.4000000000000696,short,fractal,2024-06-17 09:35:00+02:00,2024-06-17 09:40:00+02:00,12.65999984741211,False,1.0702534791031475,1.071520079121958,1.0696449604390212,1.0696614813358738,0.001250079121957755,0.47356823810205645,take_profit,1
2024-06-18,6.200000000000649,short,fractal,2024-06-18 10:15:00+02:00,2024-06-18 10:35:00+02:00,12.75,False,1.0720334791031474,1.072929305235315,1.0716103473823424,1.071626868279195,0.0008793052353151978,0.4624228397851869,take_profit,4
2024-06-19,2.4999999999986144,long,fractal,2024-06-19 10:10:00+02:00,2024-06-19 11:15:00+02:00,12.300000190734863,False,1.0737565208968525,1.0726554604746221,1.0742822697626888,1.0742657488658363,0.0010845395253778296,0.4695338040412859,take_profit,13
2024-06-21,3.1999999999987594,long,choch,2024-06-21 07:15:00+02:00,2024-06-21 07:45:00+02:00,13.279999732971191,False,1.0719365208968525,1.0716399720895053,1.0720600139552472,1.0716234511926528,0.00028002791049453255,-1.1179946443440887,stop,6
2024-06-25,3.60000000000138,long,fractal,2024-06-25 08:45:00+02:00,2024-06-25 09:00:00+02:00,13.329999923706055,False,1.0736265208968525,1.0730611240995058,1.073884437950247,1.0730446032026533,0.0005488759004942249,-1.0601990243609973,stop,3
2024-06-27,4.100000000000215,long,choch,2024-06-27 08:10:00+02:00,2024-06-27 08:30:00+02:00,12.550000190734863,False,1.0695565208968525,1.0690813744858736,1.069769312757063,1.0697527918602106,0.0004586255141264337,0.4279547415322177,take_profit,4
2024-07-01,6.200000000000649,long,fractal,2024-07-01 08:00:00+02:00,2024-07-01 08:00:00+02:00,12.4399995803833,False,1.0758365208968526,1.0752057108155568,1.0761271445922216,1.076110623695369,0.0006142891844432033,0.44621133736046886,take_profit,0
2024-07-02,4.999999999999449,short,fractal,2024-07-02 08:10:00+02:00,2024-07-02 08:10:00+02:00,12.220000267028809,False,1.0733034791031475,1.0737698882978957,1.0730950558510524,1.073111576747905,0.00044988829789560246,0.4265555608808267,take_profit,0
2024-07-03,2.5999999999992696,short,fractal,2024-07-03 09:10:00+02:00,2024-07-03 09:25:00+02:00,12.029999732971191,False,1.0751234791031474,1.0758954139869563,1.074762293006522,1.0759119348838089,0.0007554139869562457,-1.043739981355566,stop,3
2024-07-04,2.4000000000001798,long,choch,2024-07-04 07:45:00+02:00,2024-07-04 07:55:00+02:00,12.09000015258789,False,1.0787765208968525,1.0784686046586558,1.078905697670672,1.0788891767738193,0.00029139534134406213,0.38660836665138115,take_profit,2
2024-07-05,2.9999999999996696,short,fractal,2024-07-05 07:40:00+02:00,2024-07-05 08:00:00+02:00,12.09000015258789,False,1.0819634791031474,1.082321736271832,1.081809131864084,1.0823382571686846,0.00034173627183211425,-1.0966879913798706,stop,4
2024-07-08,4.299999999999304,short,choch,2024-07-08 08:45:00+02:00,2024-07-08 09:20:00+02:00,12.479999542236328,False,1.0823334791031474,1.08319560666842,1.0819271966657897,1.0832121275652726,0.0008456066684202109,-1.0390746607601655,stop,7
2024-07-09,3.2999999999994145,short,fractal,2024-07-09 08:05:00+02:00,2024-07-09 08:15:00+02:00,12.369999885559082,False,1.0827734791031474,1.0831969728308533,1.0825865135845734,1.082603034481426,0.00040697283085329276,0.41881081192588626,take_profit,2
2024-07-10,2.8999999999990145,long,fractal,2024-07-10 07:30:00+02:00,2024-07-10 08:45:00+02:00,12.510000228881836,False,1.0818165208968527,1.081424868082987,1.0819875659585068,1.0819710450616542,0.00037513191701312387,0.4119195349516062,take_profit,15
2024-07-11,3.1999999999987594,short,fractal,2024-07-11 08:30:00+02:00,2024-07-11 08:40:00+02:00,12.850000381469727,False,1.0836434791031475,1.0841689938368313,1.0834055030815843,1.083422023978437,0.0005089938368313197,0.4350840986391007,take_profit,2
2024-07-12,2.8999999999990145,long,fractal,2024-07-12 07:25:00+02:00,2024-07-12 07:40:00+02:00,12.920000076293945,False,1.0869265208968526,1.0865401841566353,1.0870949079216825,1.08707838702483,0.00036981584336475575,0.41065338519735417,take_profit,3
2024-07-15,2.20000000000109,long,fractal,2024-07-15 07:45:00+02:00,2024-07-15 08:15:00+02:00,12.460000038146973,False,1.0894565208968525,1.0891107830806732,1.0896046084596633,1.0890942621838207,0.00032921691932675715,-1.1003648104498174,stop,6
2024-07-16,2.6999999999999247,short,fractal,2024-07-16 09:40:00+02:00,2024-07-16 10:20:00+02:00,13.119999885559082,False,1.0894634791031474,1.0901489616779982,1.0891455191610009,1.0901654825748508,0.0006689616779983256,-1.0493926555014212,stop,8
2024-07-17,4.599999999999049,short,fractal,2024-07-17 07:25:00+02:00,2024-07-17 08:00:00+02:00,13.1899995803833,False,1.0903034791031474,1.0907296337333192,1.0901151831333402,1.0901317040301928,0.0004096337333193067,0.41933820137984085,take_profit,7
