entry_variant,premium_ratio,direction_mode,target_mode,n_raw,sharpe,calmar,cagr,max_drawdown,n_trades,win_rate,profit_factor,avg_return_pct,avg_hold_bars,exit_reason_counts
fib_limit,0.86,trend_strength,monthly_pivot,196,-2.088910355853762,-0.6672878855694507,-0.03862986721245121,-0.057890856477163855,86,0.11627906976744186,0.463092250059599,-0.0006605018380635132,21.24418604651163,"{'stop': 75, 'target': 8, 'max_hold': 3}"
fib_limit,0.86,prev_asia,untested_asia,335,-5.357589259708736,-0.6828089216137909,-0.09395480129395561,-0.13760043010553713,163,0.1656441717791411,0.29614575393229586,-0.0008749914774567922,9.871165644171779,"{'stop': 134, 'target': 29}"
fib_limit,0.86,prev_asia,monthly_pivot,317,-4.480592071899019,-0.698167434995035,-0.07431160324895503,-0.1064380827923942,143,0.14685314685314685,0.35166970784429685,-0.000780283298729664,21.27972027972028,"{'stop': 120, 'target': 22, 'max_hold': 1}"
candle_reaction,0.568,trend_strength,untested_asia,98,-2.7361490358740617,-0.651065104558559,-0.024690064617737262,-0.03792257401735244,48,0.16666666666666666,0.27450145999622855,-0.0007530925642081089,6.916666666666667,"{'stop': 38, 'target': 10}"
candle_reaction,0.568,trend_strength,monthly_pivot,130,-1.9164938414898554,-0.6362586605465372,-0.030988950721589248,-0.04870495702953603,55,0.10909090909090909,0.4234675379058643,-0.0008254422560018221,27.29090909090909,"{'stop': 49, 'target': 4, 'max_hold': 2}"
candle_reaction,0.568,prev_asia,untested_asia,169,-4.352012115630751,-0.6786358971625968,-0.05480975306976965,-0.08076459453284357,86,0.16279069767441862,0.22473607786759167,-0.0009477688701716309,11.883720930232558,"{'stop': 68, 'target': 18}"
candle_reaction,0.568,prev_asia,monthly_pivot,194,-3.0090489809019036,-0.6462426845782947,-0.049481851040270364,-0.07656852792470636,93,0.16129032258064516,0.3925305231210028,-0.0007880103656546384,21.096774193548388,"{'stop': 75, 'target': 17, 'max_hold': 1}"
candle_reaction,0.618,trend_strength,untested_asia,91,-2.6524169287298904,-0.6484223796854628,-0.023322222630868694,-0.03596763986181639,48,0.16666666666666666,0.28457733177621203,-0.0007108714111957633,6.083333333333333,"{'stop': 38, 'target': 10}"
candle_reaction,0.618,trend_strength,monthly_pivot,112,-1.6926828962678886,-0.6597880727061043,-0.024411728307181524,-0.036999347695173435,50,0.1,0.446342720106547,-0.0007128607190292415,20.5,"{'stop': 45, 'target': 4, 'max_hold': 1}"
candle_reaction,0.618,prev_asia,untested_asia,158,-4.955103296145119,-0.7000799172133396,-0.06090190595633216,-0.08699279104984403,86,0.12790697674418605,0.1705126910860977,-0.0010567094243866023,11.36046511627907,"{'stop': 71, 'target': 15}"
candle_reaction,0.618,prev_asia,monthly_pivot,175,-3.142103715608721,-0.6695706578997094,-0.048052096356151264,-0.0717655348083498,87,0.14942528735632185,0.3626066931265029,-0.0008176476751005815,19.528735632183906,"{'stop': 72, 'target': 14, 'max_hold': 1}"
candle_reaction,0.718,trend_strength,untested_asia,73,-3.439129043706404,-0.6458457860227184,-0.02210926562490856,-0.034233041545510434,36,0.1111111111111111,0.1267867162175117,-0.0008986317387047404,5.111111111111111,"{'stop': 31, 'target': 5}"
candle_reaction,0.718,trend_strength,monthly_pivot,89,-2.747826141206717,-0.6648265784346246,-0.028118545364537395,-0.04229455662068182,42,0.07142857142857142,0.24194756682024776,-0.0009816910608925488,19.261904761904763,"{'stop': 39, 'target': 2, 'max_hold': 1}"
candle_reaction,0.718,prev_asia,untested_asia,132,-3.9494663876490717,-0.6974692412024817,-0.04476138102060501,-0.0641768530801925,72,0.125,0.21738168348147185,-0.0009197032631332722,11.527777777777779,"{'stop': 58, 'target': 14}"
candle_reaction,0.718,prev_asia,monthly_pivot,143,-3.1443606642917272,-0.6623936479545531,-0.0398337539502861,-0.06013607478467109,71,0.14084507042253522,0.31423774911723995,-0.0008273668503038067,20.676056338028168,"{'stop': 59, 'target': 11, 'max_hold': 1}"
candle_reaction,0.86,trend_strength,untested_asia,36,-2.1402711860977512,-0.5539997768772555,-0.009597386657637985,-0.01732380960825619,19,0.05263157894736842,0.20116161623998027,-0.0007343801621785178,2.5789473684210527,"{'stop': 18, 'target': 1}"
candle_reaction,0.86,trend_strength,monthly_pivot,40,-1.4988371904606062,-0.4803798867695135,-0.009981916417818981,-0.020779213894540738,21,0.047619047619047616,0.30917332027906297,-0.0006903885899431336,21.571428571428573,"{'stop': 20, 'max_hold': 1}"
candle_reaction,0.86,prev_asia,untested_asia,74,-3.50007171345701,-0.6940914970493286,-0.02354795121118136,-0.03392629258719737,39,0.05128205128205128,0.14421520224926632,-0.0008841050043424287,4.3076923076923075,"{'stop': 37, 'target': 2}"
candle_reaction,0.86,prev_asia,monthly_pivot,75,-2.900506077974742,-0.640727182431212,-0.023568962827409168,-0.03678470880223583,40,0.05,0.18848334437306188,-0.0008624012012263601,15.25,"{'stop': 38, 'max_hold': 1, 'target': 1}"
range_breakout,,trend_strength,untested_asia,113,-1.5484172162708487,-0.6342976423971579,-0.03295639782139104,-0.05195730776617924,48,0.375,0.4175459067054285,-0.00100417881782007,22.479166666666668,"{'target': 33, 'stop': 15}"
range_breakout,,trend_strength,monthly_pivot,140,-0.7323355973030874,-0.39866510253097304,-0.024292144832780527,-0.060933712729202893,54,0.4074074074074074,0.7476802632809553,-0.0006451132138654488,106.5,"{'stop': 30, 'target': 20, 'max_hold': 4}"
range_breakout,,prev_asia,untested_asia,220,-2.5577229344577015,-0.6780813944200744,-0.07195617469000504,-0.10611731170052996,99,0.3939393939393939,0.44020501155118275,-0.001086228331603612,30.696969696969695,"{'target': 55, 'stop': 44}"
range_breakout,,prev_asia,monthly_pivot,249,-0.9580550048098038,-0.35550966833698955,-0.03592458990042835,-0.1010509505085393,101,0.39603960396039606,0.7579983139931529,-0.00051435180114198,72.01980198019803,"{'stop': 53, 'target': 44, 'max_hold': 4}"
