scope,market,timeframe,spread_bps,risk_pct,trend_ema,rsi_len,rsi_oversold,atr_len,stop_atr_mult,rr_ratio,new_is_start,new_split,new_oos_end,n_is,wr_is,pf_is,sharpe_is,n_oos,wr_oos,pf_oos,sharpe_oos,calmar_oos,cagr_oos,maxdd_pct_oos,avg_hold_bars_oos,final_equity,total_return,maxdd_usd,avg_win_usd,avg_loss_usd,n_taken,n_skipped
per_market,XPTUSD,H1,10.0,0.015,150,14,35.0,14,2.0,2.0,2023-01-01,2024-07-01,2026-08-01,19.0,0.5789473684210527,2.712960445703427,1.2930274279507021,30.0,0.43333333333333335,1.3454056002331054,0.40164475155955653,0.45243197769554855,0.03460345553359101,-0.07648322231740312,31.066666666666666,108807.34099461423,0.08807340994614243,-9904.529763923463,3144.114708597569,-1886.2441304208364,30,0
per_market,XPTUSD,H1,10.0,0.02,150,14,35.0,14,2.0,2.0,2023-01-01,2024-07-01,2026-08-01,19.0,0.5789473684210527,2.712960445703427,1.2930274279507021,30.0,0.43333333333333335,1.3454056002331054,0.40164475155955653,0.45243197769554855,0.03460345553359101,-0.07648322231740312,31.066666666666666,111416.04779764658,0.11416047797646578,-13050.137123400636,4137.153086591696,-2492.173078120322,30,0
per_market,CHFJPY,H4,3.0,0.005,150,14,35.0,14,2.0,2.0,2023-01-01,2024-07-01,2026-08-01,10.0,0.7,4.550534063421926,1.3212505657701592,18.0,0.5,2.1305508325546096,0.806128276947231,1.0802234787454874,0.02269918720358821,-0.021013417732736017,32.5,104716.39093277771,0.04716390932777714,-1963.5393086483673,1132.3054664331978,-608.2620294578936,18,0
per_market,CHFJPY,H4,3.0,0.01,150,14,35.0,14,2.0,2.0,2023-01-01,2024-07-01,2026-08-01,10.0,0.7,4.550534063421926,1.3212505657701592,18.0,0.5,2.1305508325546096,0.806128276947231,1.0802234787454874,0.02269918720358821,-0.021013417732736017,32.5,109498.27747113358,0.09498277471133587,-3982.0646108404617,2300.6626951833578,-1245.2985317240716,18,0
per_market,CHFJPY,H4,3.0,0.015,150,14,35.0,14,2.0,2.0,2023-01-01,2024-07-01,2026-08-01,10.0,0.7,4.550534063421926,1.3212505657701592,18.0,0.5,2.1305508325546096,0.806128276947231,1.0802234787454874,0.02269918720358821,-0.021013417732736017,32.5,114336.99940192956,0.14336999401929562,-6054.184057830367,3504.7884773389824,-1911.788543791256,18,0
per_market,CHFJPY,H4,3.0,0.02,150,14,35.0,14,2.0,2.0,2023-01-01,2024-07-01,2026-08-01,10.0,0.7,4.550534063421926,1.3212505657701592,18.0,0.5,2.1305508325546096,0.806128276947231,1.0802234787454874,0.02269918720358821,-0.021013417732736017,32.5,119223.45730291744,0.19223457302917435,-8178.440853061984,4744.304282461861,-2608.3645821377004,18,0
per_market,USDJPY,H4,1.5,0.005,150,14,35.0,14,2.0,2.0,2023-01-01,2024-07-01,2026-08-01,12.0,0.5,2.5424525654999814,0.8990448334039828,13.0,0.46153846153846156,1.1919041350137127,0.17129539541162808,0.22633834683113832,0.0036393495676658727,-0.016079244275743698,43.53846153846154,101001.61276020113,0.010016127602011204,-1773.050429655501,1126.7169800969566,-822.6698743400872,13,0
per_market,USDJPY,H4,1.5,0.01,150,14,35.0,14,2.0,2.0,2023-01-01,2024-07-01,2026-08-01,12.0,0.5,2.5424525654999814,0.8990448334039828,13.0,0.46153846153846156,1.1919041350137127,0.17129539541162808,0.22633834683113832,0.0036393495676658727,-0.016079244275743698,43.53846153846154,101875.75239901415,0.01875752399014141,-3576.2488066550286,2231.0508455190907,-1644.3646677286322,13,0
per_market,USDJPY,H4,1.5,0.015,150,14,35.0,14,2.0,2.0,2023-01-01,2024-07-01,2026-08-01,12.0,0.5,2.5424525654999814,0.8990448334039828,13.0,0.46153846153846156,1.1919041350137127,0.17129539541162808,0.22633834683113832,0.0036393495676658727,-0.016079244275743698,43.53846153846154,102619.26799525597,0.026192679952559805,-5405.642107901294,3311.2813107838683,-2464.059981349605,13,0
per_market,USDJPY,H4,1.5,0.02,150,14,35.0,14,2.0,2.0,2023-01-01,2024-07-01,2026-08-01,12.0,0.5,2.5424525654999814,0.8990448334039828,13.0,0.46153846153846156,1.1919041350137127,0.17129539541162808,0.22633834683113832,0.0036393495676658727,-0.016079244275743698,43.53846153846154,103229.40143728664,0.032294014372866275,-7257.215719871616,4365.763901020957,-3280.74028126273,13,0
portfolio,ALLE 5 MAERKTE,gemischt,,0.005,150,14,35.0,14,2.0,2.0,2023-01-01,2024-07-01,2026-08-01,,,,,,,,,,,,,121901.90899605211,0.2190190899605211,-5372.018832647314,1196.2273759723075,-716.0624415659986,143,2
portfolio,ALLE 5 MAERKTE,gemischt,,0.01,150,14,35.0,14,2.0,2.0,2023-01-01,2024-07-01,2026-08-01,,,,,,,,,,,,,146819.4742358449,0.46819474235844893,-11001.685103467098,2563.637772297778,-1536.1151405578296,143,2
portfolio,ALLE 5 MAERKTE,gemischt,,0.015,150,14,35.0,14,2.0,2.0,2023-01-01,2024-07-01,2026-08-01,,,,,,,,,,,,,174770.737064347,0.7477073706434698,-17836.825683014962,4112.560272359978,-2468.5343671673277,143,2
portfolio,ALLE 5 MAERKTE,gemischt,,0.02,150,14,35.0,14,2.0,2.0,2023-01-01,2024-07-01,2026-08-01,,,,,,,,,,,,,205684.20478708792,1.0568420478708793,-28047.11971466182,5850.792467776955,-3520.7346874155674,143,2
