R,reason,days,d0,ticker,market,year
0.0891372938260776,MaxHold,10,2019-05-03,CTSH,sp500,2019
0.0,BE,3,2019-05-13,ADI,sp500,2019
0.8559337903212585,MaxHold,10,2019-05-07,ACN,sp500,2019
-0.18628763341428828,MaxHold,10,2019-05-15,DE,sp500,2019
-1.0,SL,8,2019-05-17,NUE,sp500,2019
0.0,BE,4,2019-05-17,ADI,sp500,2019
-0.3036962845347561,MaxHold,10,2019-05-24,EOG,sp500,2019
0.9371650278550426,MaxHold,10,2019-05-30,XOM,sp500,2019
1.2456157523170457,MaxHold,10,2019-05-30,GIS,sp500,2019
0.0,BE,2,2019-06-11,LLY,sp500,2019
0.3942361562740752,MaxHold,10,2019-06-05,OXY,sp500,2019
0.0,BE,9,2019-06-13,LLY,sp500,2019
-0.014666633838773108,MaxHold,10,2019-06-25,CCL,sp500,2019
0.7433671427499666,MaxHold,10,2019-06-25,DHI,sp500,2019
0.0,BE,4,2019-06-25,LEN,sp500,2019
0.4955107588557993,MaxHold,10,2019-06-26,SPG,sp500,2019
-1.0,SL,3,2019-07-08,DD,sp500,2019
0.0,BE,3,2019-07-11,IVZ,sp500,2019
0.0,BE,5,2019-07-11,FAST,sp500,2019
1.499999999999999,TP,10,2019-07-10,EXPD,sp500,2019
0.5336969057056608,MaxHold,10,2019-07-11,DD,sp500,2019
0.23512850207734187,MaxHold,10,2019-07-11,MRK,sp500,2019
0.0,BE,7,2019-07-17,EOG,sp500,2019
0.0,BE,4,2019-07-18,XOM,sp500,2019
0.0,BE,7,2019-07-25,D,sp500,2019
-1.0,SL,2,2019-08-01,C,sp500,2019
-1.0,SL,9,2019-07-24,AFL,sp500,2019
-0.092790221743204,BE,7,2019-07-26,NEM,sp500,2019
-0.1276785553738679,MaxHold,10,2019-08-07,CTSH,sp500,2019
0.982515434876223,MaxHold,10,2019-08-05,ACN,sp500,2019
0.8312425679261446,MaxHold,10,2019-08-05,APD,sp500,2019
-0.35423140717987234,MaxHold,10,2019-08-07,C,sp500,2019
0.23176939724198334,MaxHold,10,2019-08-12,DE,sp500,2019
-0.21993524542169296,MaxHold,10,2019-08-12,CTSH,sp500,2019
0.0,BE,9,2019-08-27,AXP,sp500,2019
0.6923342731023456,MaxHold,10,2019-08-21,AFL,sp500,2019
1.2213969318382107,MaxHold,10,2019-08-27,FLEX,sp500,2019
1.5,TP,8,2019-08-27,GIS,sp500,2019
0.0,BE,5,2019-09-09,APD,sp500,2019
-0.05583310801650805,MaxHold,10,2019-09-10,AMGN,sp500,2019
0.5157273984063306,MaxHold,10,2019-09-10,MRK,sp500,2019
0.2517311689972439,MaxHold,10,2019-09-11,AMT,sp500,2019
0.37275274155594695,MaxHold,10,2019-09-11,MSI,sp500,2019
-1.0,SL,6,2019-09-25,EBAY,sp500,2019
-0.2928673183840178,BE,5,2019-10-01,DD,sp500,2019
-0.3417395455148486,BE,3,2019-09-27,CRM,sp500,2019
-0.2124857367588755,MaxHold,10,2019-10-01,EOG,sp500,2019
-0.2866437642451921,MaxHold,10,2019-10-07,OXY,sp500,2019
0.26635961913532635,MaxHold,10,2019-10-10,DD,sp500,2019
1.5,TP,7,2019-10-15,PG,sp500,2019
-0.07109965731928179,MaxHold,10,2019-10-17,IBM,sp500,2019
-0.2126709526149584,BE,8,2019-10-21,CF,sp500,2019
-1.0289257214784475,SL,7,2019-10-21,MDLZ,sp500,2019
0.0,BE,5,2019-10-24,ADI,sp500,2019
