R,reason,days,d0,ticker,market,year
1.1940971693289129,MaxHold,10,2019-11-07,D,sp500,2019
-0.15518957758206414,MaxHold,10,2019-11-07,EXPE,sp500,2019
0.6517800043188852,MaxHold,10,2019-11-08,NEM,sp500,2019
0.23142470865389023,MaxHold,10,2019-11-11,PEP,sp500,2019
-0.1894428607559705,BE,7,2019-11-20,FAST,sp500,2019
0.15198760589207838,MaxHold,10,2019-11-21,SPG,sp500,2019
0.810834796740452,MaxHold,10,2019-11-27,DE,sp500,2019
3.6100560172096863,TP,8,2019-12-02,AXP,sp500,2019
0.8687024590466742,MaxHold,10,2019-12-02,AFL,sp500,2019
-1.1126167402417844,SL,4,2019-12-12,LEN,sp500,2019
0.5518713807493995,MaxHold,10,2019-12-09,TXT,sp500,2019
0.5355479619992978,MaxHold,10,2019-12-10,CTSH,sp500,2019
0.9132676323081268,MaxHold,10,2019-12-12,GIS,sp500,2019
-0.03744760768288918,BE,7,2019-12-18,DHI,sp500,2019
-0.2512074795315281,MaxHold,10,2019-12-17,CAH,sp500,2019
6.641485174754989,MaxHold,10,2020-01-02,PG,sp500,2020
1.7034898628654236,MaxHold,10,2020-01-03,APD,sp500,2020
-0.1802029402317901,MaxHold,10,2020-01-03,NUE,sp500,2020
-0.04472673581373953,MaxHold,10,2020-01-06,DD,sp500,2020
-1.139336940676098,SL,3,2020-01-21,UAL,sp500,2020
-1.1910185982952974,SL,4,2020-01-21,XOM,sp500,2020
1.1852205654028312,MaxHold,10,2020-01-13,EBAY,sp500,2020
-0.46461597030777696,MaxHold,10,2020-01-16,WFC,sp500,2020
-0.22145583520560158,MaxHold,10,2020-01-21,EXPD,sp500,2020
1.331921876184575,TP,8,2020-01-27,AIG,sp500,2020
0.1974096287984271,MaxHold,10,2020-01-28,AMGN,sp500,2020
0.6210396861318854,MaxHold,10,2020-01-31,AFL,sp500,2020
0.044931171637435784,MaxHold,10,2020-02-04,XOM,sp500,2020
0.15372881879176592,MaxHold,10,2020-02-04,SYY,sp500,2020
-0.1537342168354419,BE,7,2020-02-12,PG,sp500,2020
-1.1067382425101706,SL,2,2020-02-24,AFL,sp500,2020
-1.0506286474011144,SL,8,2020-02-14,AIG,sp500,2020
-1.8612789454857952,SL,3,2020-02-24,ACN,sp500,2020
-0.7617072068473552,MaxHold,10,2020-02-13,MRK,sp500,2020
-1.1526888618727091,SL,7,2020-02-26,AFL,sp500,2020
-1.1570276289890293,SL,8,2020-03-02,UAL,sp500,2020
-0.035203367733489664,BE,7,2020-05-21,AMGN,sp500,2020
0.10619177003154519,MaxHold,10,2020-05-26,LLY,sp500,2020
0.7416127590746375,TP,7,2020-06-11,ORCL,sp500,2020
-1.6922266216334931,SL,6,2020-06-25,D,sp500,2020
0.2907474876999923,MaxHold,10,2020-06-26,AMT,sp500,2020
-0.018375527912212655,MaxHold,10,2020-06-26,COF,sp500,2020
