label,n,gesamt_total_pnl,gesamt_cagr_pct,gesamt_max_drawdown_pct,gesamt_sharpe,gesamt_calmar,is_total_pnl,is_cagr_pct,is_max_drawdown_pct,is_sharpe,is_calmar,oos_total_pnl,oos_cagr_pct,oos_max_drawdown_pct,oos_sharpe,oos_calmar,lag_days,z_threshold,mult
2Y lag=2d z>=0.0 1.25x (22% gruen),203,80408.72755323979,5.432117289814609,-14.689807752394257,0.7447310141663578,0.36978818112369377,22061.455366056558,4.00602005132531,-14.689807752394257,0.5317929251145352,0.2727074525990565,58347.272187183225,7.848149848534414,-12.926054302202694,0.9446055521254263,0.6071574252320008,2.0,0.0,1.25
2Y lag=2d z>=0.0 1.5x (22% gruen),203,87258.52737950327,5.784927736198564,-16.035836854421113,0.7344760902285642,0.36074997449251595,24316.60582549996,4.381846701023928,-16.035836854421113,0.535436544099107,0.27325338495295576,62941.921554003304,8.356436086907015,-14.715028212855497,0.9250890817382418,0.5678844760628171,2.0,0.0,1.5
2Y lag=2d z>=0.0 1.75x (22% gruen),203,94108.32720576675,6.126179326240244,-17.32372033363363,0.7223206102086648,0.35362954424670545,26571.756284943353,4.752238247169327,-17.32372033363363,0.5363638152076864,0.2743197278440797,67536.57092082339,8.852883489701124,-16.40958234420569,0.9041853008802967,0.5394947478859586,2.0,0.0,1.75
2Y lag=2d z>=0.25 1.25x (18% gruen),203,79358.6343500388,5.376955759875601,-14.850601524456675,0.7435018760852659,0.36206989669883577,21764.732196359553,3.9561562174022846,-14.850601524456675,0.5287416253012994,0.26639703522359676,57593.90215367924,7.76363484876772,-12.572890552882864,0.9459864096216763,0.6174900525947535,2.0,0.25,1.25
2Y lag=2d z>=0.25 1.5x (18% gruen),203,85158.3409731013,5.678020514235871,-16.35296007749931,0.7320815396807421,0.34721668048639615,23723.159486105942,4.283481557669777,-16.35296007749931,0.5299101265041013,0.26193921695947814,61435.18148699535,8.19108662304371,-14.0541707418393,0.9272049705361486,0.5828224783593118,2.0,0.25,1.5
2Y lag=2d z>=0.25 1.75x (18% gruen),203,90958.0475961638,5.970619687158196,-17.792837132667117,0.7185962164436177,0.33556310568348413,25681.586775852335,4.606672577354409,-17.792837132667117,0.5287194757199063,0.2589060161123319,65276.46082031146,8.610122141433397,-15.481501165491729,0.9061054439414764,0.5561555077504603,2.0,0.25,1.75
2Y lag=2d z>=0.5 1.25x (13% gruen),203,77584.04948519496,5.283064826741413,-14.857654484325355,0.74207162969779,0.35557865693504864,20610.470993736144,3.761251676011912,-14.857654484325355,0.5116993224172669,0.25315245283028937,56973.57849145881,7.693791520770654,-11.977291861255601,0.959705335255605,0.6423648692788972,2.0,0.5,1.25
2Y lag=2d z>=0.5 1.5x (13% gruen),203,81609.1712434136,5.494819820632957,-16.39924279836703,0.7292018894941393,0.33506545931377446,21414.637080859124,3.89719768762411,-16.39924279836703,0.4981581682840374,0.23764497760909892,60194.53416255447,8.053967243013771,-12.89058916463044,0.9531362688736325,0.624794347267887,2.0,0.5,1.5
2Y lag=2d z>=0.5 1.75x (13% gruen),203,85634.29300163225,5.702344607483045,-17.90748735760119,0.7136540452214494,0.31843354087655246,22218.803167982107,4.032422606419317,-17.90748735760119,0.4840110666257403,0.22518081548206004,63415.489833650136,8.40814151301692,-13.7757937108144,0.9418479322289001,0.6103562298857803,2.0,0.5,1.75
2Y lag=3d z>=0.0 1.25x (23% gruen),203,80801.41053907885,5.452669913480723,-15.173292160439244,0.7207808809054039,0.3593597128312908,20173.797028297107,3.687125825723725,-15.173292160439244,0.476187046788398,0.2430010433290825,60627.61351078175,8.10193273124391,-11.554938001115689,0.9518134530310605,0.7011662659255833,3.0,0.0,1.25
2Y lag=3d z>=0.0 1.5x (23% gruen),203,88043.8933511814,5.824625524272675,-16.93744668957725,0.691731158690539,0.3438904122341509,20541.289149981043,3.7495223689958834,-16.93744668957725,0.43691856938582907,0.2213747111778788,67502.60420120036,8.849255390953648,-12.053777294166068,0.9384375123816976,0.7341479085760624,3.0,0.0,1.5
2Y lag=3d z>=0.0 1.75x (23% gruen),203,95286.37616328395,6.183761046761971,-18.664855789040224,0.6652128632944557,0.3313050535538024,20908.781271664986,3.811766351767809,-18.664855789040224,0.40494026077761897,0.20422158064601986,74377.59489161895,9.571371728288792,-12.532372943428694,0.9234436887076514,0.7637317985583494,3.0,0.0,1.75
2Y lag=3d z>=0.25 1.25x (18% gruen),203,78983.25139515617,5.357165491343596,-15.513679462110463,0.7212530108985893,0.3453188203628653,20369.137124295215,3.7203116956467053,-15.513679462110463,0.4894647512119527,0.23980846740664824,58614.114270860955,7.8780043107426145,-11.380839740573501,0.9374341271545052,0.6922164348432893,3.0,0.25,1.25
2Y lag=3d z>=0.25 1.5x (18% gruen),203,84407.57506333603,5.639535779169913,-17.586861197640747,0.6914227091656543,0.32066755493165827,20931.96934197726,3.815688733926903,-17.586861197640747,0.4585987833725914,0.21696246368503622,63475.60572135876,8.414696164254964,-11.725046673151041,0.9115357411043614,0.7176684578598408,3.0,0.25,1.5
2Y lag=3d z>=0.25 1.75x (18% gruen),203,89831.89873151589,5.914443582227591,-19.594060274219515,0.6632162789442025,0.3018488000677123,21494.801559659303,3.9107099996093186,-19.594060274219515,0.4316613526922286,0.19958650452631074,68337.09717185657,8.938212936108435,-12.067182574337776,0.8852540503495486,0.7407042100379382,3.0,0.25,1.75
2Y lag=3d z>=0.5 1.25x (13% gruen),203,74092.65736746264,5.095819485869879,-15.792765686388254,0.7037746354176848,0.3226679599420609,18148.395738352752,3.340456948403947,-15.792765686388254,0.45634570762655,0.21151817324074393,55944.2616291099,7.577388415838038,-11.169740888704215,0.9307466762560349,0.678385335106648,3.0,0.5,1.25
2Y lag=3d z>=0.5 1.5x (13% gruen),203,74626.38700794897,5.12466383328678,-18.221422200592308,0.6574420530952122,0.28124389945369893,16490.486570092326,3.053118415700551,-18.221422200592308,0.3944234225689262,0.16755653768899037,58135.90043785664,7.824471588594739,-11.304029801576798,0.898274633951512,0.6921842675523825,3.0,0.5,1.5
2Y lag=3d z>=0.5 1.75x (13% gruen),203,75160.1166484353,5.1534280353146,-20.657207920679433,0.6133085654079937,0.2494736004547656,14832.577401831903,2.762477186762724,-20.657207920679433,0.3387216579350102,0.13372945643817016,60327.53924660339,8.068709672078622,-11.437418791419308,0.864982641786567,0.7054659638879368,3.0,0.5,1.75
