Variante,Setup,Trades,Treffer%,PF,Ø R,Ø R (IS),Ø R (OOS),PnL $,MaxDD %,SL med (Pips),SL p10,Hebel med,Hebel p90,Hebel max
C ATR-Mult (drop),min_sl_atr_mult=2.0,64,57.8125,1.3071820544668837,0.14614342732631164,0.190987434909433,0.12859577218509025,2338.2948372209858,-1.3448578674273848,19.15,8.889999999999842,1.3062042999017776,2.812812187812237,3.9682539682531464
C ATR-Mult (drop),min_sl_atr_mult=2.5,59,59.32203389830509,1.350633202486667,0.16009868494094878,0.46311820801095116,0.056796574803447956,2361.455602878995,-1.3334043176322585,20.000000000000018,8.779999999999346,1.249999999999999,2.8644688644691194,3.9682539682531464
C ATR-Mult (drop),min_sl_atr_mult=3.0,51,60.78431372549019,1.3875167881110508,0.16860608931061546,0.33145665752063547,0.12382218305285993,2149.7276387103475,-1.148195121591411,22.100000000000453,12.300000000000644,1.1312217194569905,2.0325203252031456,3.9682539682531464
C ATR-Mult (widen),min_sl_atr_mult=1.5,307,36.807817589576544,0.9764334707170877,-0.019403710228643626,-0.019014671912623134,-0.019649963205273648,-1489.2347600483981,-8.579445782300589,7.399999999999629,4.564604471225049,3.3783783783785477,5.476925916021729,7.543483414228359
C ATR-Mult (widen),min_sl_atr_mult=2.0,307,41.693811074918564,1.0348554972477442,0.025077778116709717,0.07270532037846972,-0.005069442783021307,1924.7194704574722,-5.303415776923959,9.599279942167726,6.0575607344661995,2.604362009506565,4.127201634160613,5.657612560671271
C ATR-Mult (widen),min_sl_atr_mult=2.5,307,44.62540716612378,1.0170651970590918,0.011250336667300267,0.009348356573238003,0.012454249599180055,863.4633392152948,-5.4696026466319765,11.979651081008548,7.291377051565252,2.0868721326644257,3.4287148095223587,4.526090048537016
C ATR-Mult (widen),min_sl_atr_mult=3.0,307,47.557003257328994,1.0222657980849514,0.013548496278871312,0.01220092304965841,0.014401481461192243,1039.8470894033735,-4.561930979549134,14.29864790121917,8.5597798875501,1.7484170652155429,2.920644112738403,3.9682539682531464
D Session-Vol-SL,session_sl_mult=1.0,171,18.128654970760234,0.6100098666450141,-0.4735824932760249,-0.4735932484732986,-0.47357589810788553,-20245.651587550066,-21.696252511776958,4.317676137462883,3.039830610202096,5.790151739979806,8.224142462443963,9.226633366035758
D Session-Vol-SL,session_sl_mult=1.5,289,30.103806228373703,0.9229437989022372,-0.0710384656549115,-0.06966759989714989,-0.07189333138025715,-5132.529143567355,-10.294222029071253,6.544924542584806,4.643195882738903,3.819753740067823,5.384251519168624,6.750414938251366
D Session-Vol-SL,session_sl_mult=2.0,305,37.377049180327866,1.0300190210340756,0.0232631004954519,0.030165371916022435,0.01884713114573203,1773.8114127782073,-5.273944953921051,8.726566056779742,6.24275051091348,2.864815305050867,4.004951355547815,5.062811203688524
D Session-Vol-SL,session_sl_mult=2.5,307,42.34527687296417,1.050122215315144,0.03440043813724369,0.08172307355877252,0.004446216779999367,2640.233627033452,-2.921522167593371,10.908207570974676,7.831347937547328,2.291852244040694,3.192542627452206,4.050248962950819
D Session-Vol-SL,session_sl_mult=3.0,307,47.557003257328994,1.113629572566321,0.0689977847794511,0.04427417610426426,0.08464730303661723,5295.579981822871,-3.0323665368854003,13.089849085169613,9.397617525056793,1.9098768700339115,2.6604521895435056,3.375207469125683
