Variante,Setup,Trades,Treffer%,PF,Ø R,Ø R (IS),Ø R (OOS),PnL $,MaxDD %,SL med (Pips),SL p10,Hebel med,Hebel p90,Hebel max
TP adr 0.35 (Ist) | kein Boden,Referenz,207,39.61352657004831,1.108919137438364,0.08953715878677239,-0.055729729776583324,0.18874381439101526,4633.547967215469,-7.3369654804148805,6.999999999999229,3.5599999999997856,3.571428571428964,7.023809523809906,9.99999999999666
TP adr 0.75 | kein Boden,adr_mult=0.75,207,24.154589371980677,1.249049455963477,0.2525581225418336,0.18952608997088718,0.2956043886878458,13069.882841539886,-7.0379828116280185,6.999999999999229,3.5599999999997856,3.571428571428964,7.023809523809906,9.99999999999666
TP adr 0.25 | Boden 4p,adr_mult=0.25,173,53.179190751445084,1.3243828130613724,0.19679373104887932,0.08451852367457993,0.27875463243211784,8511.328867864031,-3.547133773553779,7.500000000000284,4.919999999998925,3.333333333333207,5.08163265306234,6.097560975609437
TP adr 0.5 | Boden 4p,adr_mult=0.5,173,32.947976878612714,1.1800692858697752,0.1544320940161037,0.06427817304577106,0.2202444563244465,6679.188066196482,-4.941228056943492,7.500000000000284,4.919999999998925,3.333333333333207,5.08163265306234,6.097560975609437
TP adr 0.75 | Boden 4p,adr_mult=0.75,173,26.589595375722542,1.39368318922704,0.36731338960172394,0.462551841709366,0.29778931956314536,15886.304100274563,-4.7136998358220605,7.500000000000284,4.919999999998925,3.333333333333207,5.08163265306234,6.097560975609437
TP adr 0.25 | Boden 5p,adr_mult=0.25,152,57.23684210526316,1.5260113941678122,0.281813160698308,0.24542072536098836,0.3068835050417949,10708.900106535704,-2.3062955982158018,8.900000000000574,5.5000000000005045,2.8093434343432575,4.545454545454128,4.99999999999833
TP adr 0.5 | Boden 5p,adr_mult=0.5,152,36.18421052631579,1.342307952089975,0.27145995219073127,0.22456117134245393,0.3037680012195444,10315.478183247784,-2.700156544221455,8.900000000000574,5.5000000000005045,2.8093434343432575,4.545454545454128,4.99999999999833
TP adr 0.75 | Boden 5p,adr_mult=0.75,152,29.605263157894736,1.6357162070229445,0.5527473568741347,0.6435709203072753,0.49018001317574894,21004.399561217113,-3.064591185652654,8.900000000000574,5.5000000000005045,2.8093434343432575,4.545454545454128,4.99999999999833
TP adr 0.25 | Boden 6p,adr_mult=0.25,122,60.65573770491803,1.637764919999939,0.30275623398370743,0.3765336275023169,0.26541212121502855,9234.065136503075,-1.3876844617774498,10.000000000001119,6.699999999999484,2.4999999999997202,3.731343283582377,4.166666666665583
TP adr 0.5 | Boden 6p,adr_mult=0.5,122,40.16393442622951,1.5353764974460953,0.383277456536352,0.49720397860932475,0.32561094536361285,11689.962424358737,-2.420001124762272,10.000000000001119,6.699999999999484,2.4999999999997202,3.731343283582377,4.166666666665583
TP adr 0.75 | Boden 6p,adr_mult=0.75,122,31.9672131147541,1.7531269395254823,0.6109088617657268,0.9028828118934051,0.46311957836776624,18632.720283854673,-3.3454836605107174,10.000000000001119,6.699999999999484,2.4999999999997202,3.731343283582377,4.166666666665583
