,walk_forward_equity
2020-06-01,91165.67014789581
2020-06-02,91165.67014789581
2020-06-03,91165.67014789581
2020-06-04,91165.67014789581
2020-06-05,91165.67014789581
2020-06-08,91165.67014789581
2020-06-09,91165.67014789581
2020-06-10,91165.67014789581
2020-06-11,91165.67014789581
2020-06-12,91165.67014789581
2020-06-15,91165.67014789581
2020-06-16,91165.67014789581
2020-06-17,91165.67014789581
2020-06-18,91165.67014789581
2020-06-19,91165.67014789581
2020-06-22,91165.67014789581
2020-06-23,91165.67014789581
2020-06-24,91165.67014789581
2020-06-25,91165.67014789581
2020-06-26,91165.67014789581
2020-06-29,91165.67014789581
2020-06-30,91165.67014789581
2020-07-01,91165.67014789581
2020-07-02,91165.67014789581
2020-07-03,91165.67014789581
2020-07-06,91165.67014789581
2020-07-07,91165.67014789581
2020-07-08,91165.67014789581
2020-07-09,91165.67014789581
2020-07-10,91165.67014789581
2020-07-13,91165.67014789581
2020-07-14,91165.67014789581
2020-07-15,91397.10300922394
2020-07-16,91454.96122455597
2020-07-17,91806.2466249466
2020-07-20,91938.4942445755
2020-07-21,92174.06132221222
2020-07-22,92256.71348285675
2020-07-23,92351.76829242706
2020-07-24,91818.64454364777
2020-07-27,91934.36192035675
2020-07-28,91909.56419086456
2020-07-29,91909.56419086456
2020-07-30,91909.56419086456
2020-07-31,91263.77148151398
2020-08-03,92076.6616563797
2020-08-04,92254.31360721588
2020-08-05,91846.85299015045
2020-08-06,91614.91872501373
2020-08-07,91786.11312198639
2020-08-10,91421.63985538483
2020-08-11,91471.33559513092
2020-08-12,91885.51027774811
2020-08-13,91797.15535831451
2020-08-14,91797.15535831451
2020-08-17,91797.15535831451
2020-08-18,91797.15535831451
2020-08-19,91797.15535831451
2020-08-20,91797.15535831451
2020-08-21,91797.15535831451
2020-08-24,91797.15535831451
2020-08-25,91797.15535831451
2020-08-26,91797.15535831451
2020-08-27,91797.15535831451
2020-08-28,91797.15535831451
2020-08-31,92309.35308170319
