,p5,p25,p50,p75,p95
2019-12-13,89420.84483341096,97988.91184685986,104555.51966306946,111110.60590249654,120459.90461923082
2019-12-16,89407.02880876561,98048.22132198852,104533.00737920453,111138.31959470327,120520.83708667722
2019-12-17,89458.47455061201,98088.37042305741,104544.93842295767,111101.04353588431,120573.58708995041
2019-12-18,89342.37711996707,98151.30094904242,104458.21008684603,111119.32378572175,120536.21908942932
2019-12-19,89467.0464341557,98203.51150188061,104498.38098231204,111123.10472542062,120522.86092356389
2019-12-20,89200.63938845918,98201.77107605623,104429.37110323316,111109.52267745406,120597.51460145655
2019-12-23,89140.28306034571,98260.28911632195,104392.25133663804,111128.99090493727,120522.86092356389
2019-12-24,89130.50847283848,98156.60395662449,104406.97389323407,111187.99420727068,120600.90497238582
2019-12-25,89133.5016950833,98269.22518547683,104514.61274479446,111189.05375205324,120711.78410579299
2019-12-27,89052.50652478024,98221.11036803617,104461.8274675728,111270.00632548162,120807.68061942741
2019-12-30,89178.14271165902,98130.92966507719,104502.27204547919,111293.95055785996,120720.71785242522
2019-12-31,89131.47013038295,98108.60133190369,104515.97841767603,111352.25385751267,120784.2402211578
2020-01-02,88985.47369168948,98156.60395662449,104514.41984373865,111331.9300381781,120714.59428081542
2020-01-03,89130.50847283848,98215.20760754199,104548.40317857578,111278.1299761287,120665.91673503055
2020-01-06,89000.00898100047,98243.94448835828,104530.12519301771,111288.00047012347,120523.6244582786
2020-01-07,89055.57318848514,98215.9839271202,104428.93750448986,111295.78592114148,120652.64164101008
2020-01-08,88815.85124762215,98167.75238870295,104552.40081243495,111330.19428621569,120640.60920361587
2020-01-09,89018.7731403982,98156.60395662449,104526.22489321319,111294.95929179691,120758.7724835689
2020-01-10,88877.44461612665,98120.23540085033,104490.2822854302,111283.40067979626,120753.7080719644
2020-01-13,88877.12529814347,98192.6989880547,104514.0476839389,111314.24640994259,120742.63436626355
2020-01-14,88811.21018394888,98253.9557252942,104475.63273788075,111277.74322570735,120757.80852149331
2020-01-15,88552.75197321828,98328.9363152507,104511.65643360824,111246.25818600951,121073.51883052853
2020-01-16,88693.70861613734,98272.66069299326,104552.9281007835,111300.80407328958,121008.7636133501
2020-01-17,88696.60899487382,98382.05990423114,104515.98875814062,111379.27565588092,120935.14371196095
2020-01-20,88695.66541857948,98270.66917109505,104553.99281662953,111461.27862353683,121087.43601390495
2020-01-21,88731.26918772688,98309.3884524132,104626.73922606191,111456.75283560753,121090.65815349732
2020-01-22,88696.60899487382,98346.42526992856,104628.11497949403,111596.66956908825,121183.93494281515
2020-01-23,88692.55349675949,98373.43134563549,104669.68674815804,111591.81614835822,121175.56100981178
2020-01-24,88578.62856505132,98387.32257649263,104657.74537904336,111685.20639169315,121138.78938513866
2020-01-27,88552.75197321828,98313.04019453468,104597.40965529633,111696.34819140728,121175.56100981178
2020-01-28,88593.41115415635,98240.48075011917,104624.11701715896,111669.46813443978,121095.770007694
2020-01-29,88597.49952784833,98270.66917109505,104621.41459970357,111759.63397690348,121166.12984455348
2020-01-30,88684.99946417111,98151.68277994066,104649.29850657439,111741.14221978397,121175.56100981178
2020-01-31,88649.07860955894,98148.00211994287,104758.92497170213,111794.3827663137,121181.71346482137
2020-02-03,88685.94826829863,98179.53941451038,104785.24347418308,111793.03000834219,121188.48311445839
2020-02-04,88696.60899487382,98203.61243780112,104819.24624319965,111800.78224394396,121256.29814725512
2020-02-05,88565.98499149359,98275.20756780877,104748.6965991609,111784.84562095276,121181.06733520392
2020-02-06,88692.99280735113,98272.92742696722,104772.90369904453,111804.70494247318,121139.10837084032
2020-02-07,88691.5388244343,98316.08262990086,104670.77445670868,111793.88742465572,121091.12830236282
2020-02-10,88493.05830315282,98286.80144462115,104660.87536073387,111864.83920823639,121139.10837084032
2020-02-11,88423.74718013612,98272.45712747145,104765.5704018859,111895.30454009683,121187.98349511332
2020-02-12,88422.38652737721,98272.45712747145,104854.10291251475,111950.27338062401,121183.51587607093
2020-02-13,88386.1234011039,98229.03559973538,104873.47764877079,111893.90814339145,121270.09278762343
2020-02-14,88371.59951321485,98272.45712747145,104882.02204139059,111942.152443528,121278.32320490218
2020-02-17,88340.7287365421,98281.92817924876,104881.76248227221,111943.18595681372,121489.76755839847
2020-02-18,88377.09229338502,98371.72321325183,104885.40927053001,111897.9970021855,121336.78129089031
2020-02-19,88377.09229338502,98391.46125065367,104790.60865624447,111939.64105830106,121559.92454664526
2020-02-20,88377.09229338502,98473.13628839386,104888.72744096343,111977.74611918101,121577.35160335751
2020-02-21,88339.10985968981,98423.80439439483,104868.96531039538,111995.84160962312,121657.39470459848
2020-02-24,88255.06127421778,98407.78472754413,104826.50018514041,112026.70174487148,121659.35517563546
2020-02-25,88312.3680012966,98367.42896319673,104854.63068200683,111910.15317840234,121577.35160335751
2020-02-26,88339.9319122455,98538.23003641,104861.27005580922,111838.29705417447,121605.13790316092
2020-02-27,88253.48380348801,98501.41910134799,104897.11048411246,111906.610971208,121575.3907986032
2020-02-28,88282.98983374347,98497.11814492807,104878.9151595592,111897.9970021855,121572.63873247495
2020-03-02,88241.44592181756,98483.68553823567,104793.08495660045,111935.96679536492,121668.25508071826
2020-03-03,88254.41727696093,98552.7965881079,104851.2582100002,111897.9970021855,121741.09539578354
2020-03-04,88290.15422517213,98539.80336412565,104874.98768330901,111960.62606887255,121681.18448353738
2020-03-05,88253.48380348801,98538.524180875,104863.56653550893,111889.21436379958,121631.28699315478
2020-03-06,88210.10965595892,98397.38789591237,104875.35019578335,112008.93784567066,121559.92454664526
2020-03-09,88226.19288520253,98538.524180875,104902.7859282562,112085.15019800035,121559.92454664526
2020-03-10,88193.58881598618,98449.44345045401,104882.02204139059,112126.35872875473,121657.46171523676
2020-03-11,88238.10703099552,98419.94627142642,104845.80994199126,112131.76197338753,121657.61075638067
2020-03-12,88232.5304615594,98536.76803803229,104891.80320985088,112129.97674501338,121967.67526346626
2020-03-13,88236.76610065169,98473.77925651506,104744.05267688412,112131.76197338753,121624.60151826916
