,BBfull,BBOU,DAX
2022-02-01,89351.73081421852,95401.43917226791,121349.67610380429
2022-02-02,88862.19183659554,95425.13291311264,121306.01246420511
2022-02-03,86911.46722054482,95180.9599852562,119400.23685343197
2022-02-04,85866.26318192482,94841.06088209152,117311.02843386834
2022-02-07,86125.70819497108,94936.27686262131,118142.95164534534
2022-02-08,84969.74850678444,94090.44283437729,118420.62356229595
2022-02-09,84491.71594166756,93680.22819757462,120282.34859244131
2022-02-10,84549.57981610298,93821.24292516708,120347.84784537957
2022-02-11,84653.94447541237,93626.57476949692,119840.36330576011
2022-02-14,85292.87943100929,94306.7543721199,117422.98337147485
2022-02-15,85139.91513752937,94035.91444826126,119743.9467059293
2022-02-16,85214.09979557991,94141.2094168663,119614.67046698395
2022-02-17,85976.39387726784,94731.77870321274,118616.7950767141
2022-02-18,85716.17598557472,94753.03296804428,116867.79886623244
2022-02-21,85563.6283838749,95234.74686193466,114448.56009759412
2022-02-22,85011.95996117592,94979.13564443588,114152.3984691399
2022-02-23,83805.13156151772,94542.82530355453,113673.50963024143
2022-02-24,80318.28594994545,94058.7709441185,109173.13509408699
2022-02-25,83821.17217850685,98435.21766614914,113175.27373991327
2022-02-28,78445.72283911705,97364.45272302628,112350.10302873918
2022-03-01,73568.64534449577,92854.95167016983,108029.12497535149
2022-03-02,76035.90687155724,94483.94216394424,108769.22176978785
2022-03-03,74217.83292555809,93062.61565828323,106425.1861281186
2022-03-04,68488.79623246193,85870.78462266922,101733.69307215473
2022-03-07,66257.39283490181,84809.96745634079,99714.56650124052
2022-03-08,66010.8611729145,86107.9883594513,99690.16645520214
2022-03-09,71966.25419640541,92895.45191574097,107586.90448922152
2022-03-10,69646.32858586311,90794.06407356262,104433.94207250017
2022-03-11,70280.87901329994,91639.79758548737,105879.09094350867
2022-03-14,71993.30888485909,94163.71681213379,108217.61077875069
2022-03-15,71636.53137612343,94050.20278644562,108125.61744597222
2022-03-16,72798.87635445595,95488.47256278992,112192.5497463905
2022-03-17,72339.0833170414,95533.00672721863,111783.264770165
2022-03-18,72260.08487534523,95115.48211288452,111977.72919180992
2022-03-21,72292.6382791996,95106.59761619568,111308.64745673905
2022-03-22,72314.38581871986,95106.59761619568,112444.73666500687
2022-03-23,72440.60060143471,95106.59761619568,110972.09221973122
2022-03-24,72469.64364647865,95106.59761619568,110895.4854831486
2022-03-25,72246.68702340126,95106.59761619568,111143.86368811096
2022-03-28,72088.3458673954,95106.59761619568,112010.98335903203
2022-03-29,71518.8764154911,95106.59761619568,115141.6473505958
2022-03-30,72152.25376534462,95106.59761619568,113476.86771692577
2022-03-31,72391.35734963417,95106.59761619568,111990.6272260964
2022-04-01,72297.78693795204,95106.59761619568,112237.1465967057
2022-04-04,71886.4549562931,95106.59761619568,112794.03819472132
2022-04-05,72125.57852196693,95106.59761619568,112065.29167045705
2022-04-06,71665.68944764137,95106.59761619568,109946.87299677407
2022-04-07,71969.34576630592,94905.61805534363,109375.52801327861
2022-04-08,72043.82223534584,95045.49687767029,110972.24396131105
