max_hold_h,tp_mode,tp_r,stop_atr,be,max_concurrent,n_trades,n_skipped,win_rate,profit_factor,sharpe,cagr,max_drawdown,final_equity,total_return
24,h4_level,,1.5,,,1811,0,0.3583655438983987,0.3996100106222638,-0.09965785742361954,-0.9991307323243511,-0.9999642746536271,4.436081268990924,-0.9999556391873101
24,h4_level,,1.5,0.5,1.0,151,1660,0.2052980132450331,0.47800770779735674,-1.9061323797242358,-0.38291880482159846,-0.5057021445473683,51010.52193647458,-0.48989478063525416
24,h4_level,,1.5,0.5,2.0,258,1553,0.21705426356589147,0.545324310855534,-1.5229743459058727,-0.48921682115665865,-0.624387588320261,39106.87037153714,-0.6089312962846286
24,h4_level,,1.5,0.5,3.0,358,1453,0.2206703910614525,0.5222141925110622,-1.4817487979985158,-0.6046209913009726,-0.7410584166229387,27188.79530837334,-0.7281120469162665
24,h4_level,,1.5,0.5,4.0,449,1362,0.22494432071269488,0.5131571178112851,-1.4337665049835844,-0.6837645017270534,-0.8127954045367531,19898.082240473286,-0.8010191775952671
24,h4_level,,1.5,0.5,5.0,542,1269,0.22140221402214022,0.49444112649928296,-1.4546737371944498,-0.7577666265948191,-0.8728943908434117,13655.72837063619,-0.8634427162936381
24,h4_level,,1.5,0.5,6.0,626,1185,0.2220447284345048,0.4853990446479652,-1.3865613505756502,-0.805438316646444,-0.907544671698,10071.076783039405,-0.899289232169606
24,h4_level,,1.5,0.5,8.0,781,1030,0.21895006402048656,0.4705591467839529,-1.27861326717487,-0.876473260498533,-0.9522049958631703,5277.797349088903,-0.947222026509111
24,h4_level,,1.5,0.5,12.0,1025,786,0.22926829268292684,0.4645889140084146,-1.0681383661854527,-0.9375125993121215,-0.9822367076172909,2039.261219485949,-0.9796073878051406
24,h4_level,,1.5,0.5,,1811,0,0.25621203754831584,0.3297346339743383,-0.42776705755260763,-0.9940708917723362,-0.9994192038210703,69.43760650112745,-0.9993056239349887
24,h4_level,,1.5,1.0,1.0,130,1681,0.2692307692307692,0.5215526048607151,-1.8028512471309348,-0.3440184016828506,-0.45980757643596537,55746.74696271504,-0.44253253037284956
24,h4_level,,1.5,1.0,2.0,222,1589,0.2747747747747748,0.5947679648271872,-1.390822258311677,-0.44219949997430696,-0.5731430655950641,44851.415748703446,-0.5514858425129656
24,h4_level,,1.5,1.0,3.0,309,1502,0.2750809061488673,0.6012332885448974,-1.248338016028003,-0.537506595460302,-0.6748399141382434,34827.84091394404,-0.6517215908605596
24,h4_level,,1.5,1.0,4.0,392,1419,0.2729591836734694,0.5721215291384262,-1.309516475664944,-0.6483461588085841,-0.7815871623380736,23676.097331944613,-0.7632390266805539
24,h4_level,,1.5,1.0,5.0,474,1337,0.2679324894514768,0.5396600914033433,-1.353249280761028,-0.7354269012460214,-0.8555199413444272,15827.238792339578,-0.8417276120766042
24,h4_level,,1.5,1.0,6.0,546,1265,0.2692307692307692,0.5249475365565973,-1.355281454621165,-0.7926201562722397,-0.8985676938491752,11262.963530359679,-0.8873703646964032
24,h4_level,,1.5,1.0,8.0,683,1128,0.26500732064421667,0.5183826340697109,-1.2523105465637778,-0.8644550688449593,-0.9453052239606015,6144.243750119347,-0.9385575624988065
24,h4_level,,1.5,1.0,12.0,915,896,0.2743169398907104,0.516003599077839,-1.0146726314017738,-0.9319260316551239,-0.9798842841874281,2359.419925922562,-0.9764058007407744
24,h4_level,,1.5,1.0,,1811,0,0.2965212589729431,0.3286164168110904,-0.3882202838607628,-0.998497706279764,-0.999920920469588,9.819449193311392,-0.9999018055080668
24,h4_level,,2.0,,1.0,96,1715,0.3645833333333333,0.6422591408785562,-1.234319797814677,-0.18650625169390023,-0.26104984060302416,75828.31066124105,-0.2417168933875895
24,h4_level,,2.0,,2.0,173,1638,0.3583815028901734,0.6699813933550308,-1.120601568260602,-0.29945185674378183,-0.4052532927668797,61962.30666099332,-0.38037693339006673
24,h4_level,,2.0,,3.0,242,1569,0.36363636363636365,0.6820016467666323,-1.0351062288027617,-0.38975659079488023,-0.5132748860099436,51510.37821115462,-0.48489621788845383
24,h4_level,,2.0,,4.0,310,1501,0.36129032258064514,0.6562696742884406,-1.1008793848934135,-0.5005648838038008,-0.6361756829043552,38897.62772944554,-0.6110237227055446
24,h4_level,,2.0,,5.0,378,1433,0.35978835978835977,0.6417583127260931,-1.1235625137299687,-0.5919665346035349,-0.7287330136868131,29258.554372439452,-0.7074144562756055
24,h4_level,,2.0,,6.0,444,1367,0.3536036036036036,0.621498917610545,-1.1986637700158307,-0.6750495492587403,-0.8051109273336281,21253.7567740075,-0.7874624322599251
24,h4_level,,2.0,,8.0,566,1245,0.3462897526501767,0.6204002753814096,-1.1367621919772186,-0.7736528774021179,-0.8847336771335752,12852.46083868077,-0.8714753916131923
24,h4_level,,2.0,,12.0,782,1029,0.34654731457800514,0.6016000237306031,-1.022861061190254,-0.8883179163248246,-0.9586834213085548,4823.647356158119,-0.9517635264384188
24,h4_level,,2.0,,,1811,0,0.3931529541689674,0.4066862282597583,-0.1575771537632535,-0.9987710445473447,-0.9999408829574887,7.350009509460039,-0.9999264999049055
24,h4_level,,2.0,0.5,1.0,120,1691,0.25833333333333336,0.5516986048520577,-1.5073416924577696,-0.23623914313368144,-0.3257444602356395,69189.58996644332,-0.3081041003355668
24,h4_level,,2.0,0.5,2.0,222,1589,0.24774774774774774,0.5743821718276544,-1.364437345721396,-0.37011732234615646,-0.4903599707418038,52910.27159750431,-0.4708972840249569
24,h4_level,,2.0,0.5,3.0,309,1502,0.2524271844660194,0.567642195924717,-1.34762516328557,-0.4880392593727507,-0.622848506130018,39737.1368680635,-0.602628631319365
24,h4_level,,2.0,0.5,4.0,391,1420,0.2557544757033248,0.5589270285456247,-1.336838616802597,-0.5751149877508813,-0.7123108720756225,30622.75003960235,-0.6937724996039765
24,h4_level,,2.0,0.5,5.0,471,1340,0.25690021231422505,0.5481753262626793,-1.3273120743728044,-0.6494200464032138,-0.7823932336113153,23368.694587796566,-0.7663130541220343
24,h4_level,,2.0,0.5,6.0,543,1268,0.2559852670349908,0.5346879496771433,-1.321746994115301,-0.7095562820512205,-0.834431990014158,17978.42363014808,-0.8202157636985192
24,h4_level,,2.0,0.5,8.0,683,1128,0.25329428989751096,0.5293362296718765,-1.2592100739597738,-0.8037033349326593,-0.9062750610666575,10383.294728754316,-0.8961670527124569
24,h4_level,,2.0,0.5,12.0,921,890,0.254071661237785,0.49103627331901756,-1.1319618017511222,-0.9008404009291954,-0.9652375244176495,3994.156656883899,-0.960058433431161
24,h4_level,,2.0,0.5,,1811,0,0.28106018774157926,0.3416637314838531,-0.43235229827051413,-0.9910090893437834,-0.9989359588746148,128.2602096690489,-0.9987173979033095
24,h4_level,,2.0,1.0,1.0,100,1711,0.34,0.6006995928842304,-1.3926990365431666,-0.2051412542327602,-0.2855069580336872,73318.61244299557,-0.2668138755700443
24,h4_level,,2.0,1.0,2.0,179,1632,0.329608938547486,0.6496581571493535,-1.1829304383627843,-0.3084394560958582,-0.41630306254848115,60811.112017266445,-0.39188887982733556
24,h4_level,,2.0,1.0,3.0,252,1559,0.32936507936507936,0.6642716269640606,-1.0778509212255558,-0.39712137379654555,-0.5217829621412415,50609.96397984492,-0.4939003602015508
24,h4_level,,2.0,1.0,4.0,328,1483,0.3201219512195122,0.6271498791583282,-1.1874727020037725,-0.5175312219875767,-0.6539875810654067,36993.30041742251,-0.6300669958257749
24,h4_level,,2.0,1.0,5.0,398,1413,0.31909547738693467,0.6068950034423233,-1.230472049723811,-0.6083928376087717,-0.7444481814686541,27563.533915780787,-0.7243646608421921
