mode,mtd,max_hold_h,tp_mode,tp_r,stop_atr,be,sharpe,calmar,cagr,max_drawdown,n_trades,win_rate,profit_factor,avg_return_pct,avg_hold_bars,exit_reason_counts
sweep,0.5,24,atr,3.0,0.5,0.5,-0.5839793161328803,-0.3845655396230366,-0.0537767005341131,-0.13983754391209036,185,0.2,0.8667212299677267,-0.00040398125221744,13.95135135135135,"{'stop': 79, 'breakeven': 69, 'target': 37}"
sweep,0.5,24,atr,3.0,0.5,1.0,-0.3725634284525906,-0.26533742467042626,-0.03610630810676729,-0.13607695239981576,161,0.22981366459627328,0.9150894890793909,-0.0002950463979341964,18.47826086956522,"{'stop': 84, 'breakeven': 39, 'target': 34, 'max_hold': 4}"
sweep,0.5,24,atr,3.0,1.0,,0.19413140624542047,0.17451572920143407,0.014950689447375654,-0.08566958127951252,126,0.3333333333333333,1.0513801387208666,0.00023384731008491627,30.238095238095237,"{'stop': 81, 'target': 30, 'max_hold': 15}"
sweep,0.5,24,atr,3.0,1.0,0.5,-0.4360326856901801,-0.30938103452341975,-0.04529064083237955,-0.1463911351325936,157,0.1910828025477707,0.8891421515033187,-0.00038607212466951733,20.59235668789809,"{'breakeven': 64, 'stop': 63, 'target': 28, 'max_hold': 2}"
sweep,0.5,24,atr,3.0,1.0,1.0,-0.2729604873175516,-0.2448184397851624,-0.03136120868299819,-0.12809986335391588,139,0.2589928057553957,0.9310257191384,-0.00028229603748099625,25.640287769784173,"{'stop': 75, 'target': 27, 'breakeven': 27, 'max_hold': 10}"
sweep,0.5,24,atr,3.0,1.5,,-0.19765154808571317,-0.2685144269754498,-0.02783251252492136,-0.10365369503019695,114,0.34210526315789475,0.9480952302940885,-0.0002806603891131951,38.49122807017544,"{'stop': 68, 'target': 24, 'max_hold': 22}"
sweep,0.5,24,atr,3.0,1.5,0.5,-0.3807258903648125,-0.4537476306975518,-0.046615048949268933,-0.10273342667951135,138,0.21014492753623187,0.8971770419188708,-0.0004397732106308856,28.956521739130434,"{'stop': 55, 'breakeven': 53, 'target': 24, 'max_hold': 6}"
sweep,0.5,24,atr,3.0,1.5,1.0,-0.35045662525962323,-0.35180579528423134,-0.04393535959664918,-0.12488526393134847,123,0.2845528455284553,0.9082455233073067,-0.00045858946689448447,34.8130081300813,"{'stop': 65, 'target': 23, 'breakeven': 19, 'max_hold': 16}"
sweep,0.5,24,atr,3.0,2.0,,-1.1397643170278264,-0.569742522091654,-0.12011755133489388,-0.21082778040493644,105,0.3238095238095238,0.7182047080971097,-0.001692965020057288,50.19047619047619,"{'stop': 61, 'max_hold': 30, 'target': 14}"
sweep,0.5,24,atr,3.0,2.0,0.5,-1.147546710784876,-0.5717258804613103,-0.10858351076479122,-0.18992232899650807,125,0.208,0.7018172962466951,-0.0012808449333488942,38.888,"{'breakeven': 54, 'stop': 44, 'max_hold': 15, 'target': 12}"
sweep,0.5,24,atr,3.0,2.0,1.0,-1.115295958238248,-0.5515208543808487,-0.11338862895606394,-0.20559264088636664,114,0.2719298245614035,0.7190004961279786,-0.0014667193624836924,45.24561403508772,"{'stop': 55, 'breakeven': 24, 'max_hold': 22, 'target': 13}"
sweep,0.5,24,atr,3.0,3.0,,-0.3381136942770313,-0.2968140149018565,-0.04351412476492966,-0.14660400985215571,94,0.4148936170212766,0.9027681232388503,-0.0005904394076780532,62.712765957446805,"{'stop': 43, 'max_hold': 40, 'target': 11}"
sweep,0.5,24,atr,3.0,3.0,0.5,-0.8380970014589252,-0.5230089621406815,-0.08931441308768895,-0.1707703300572978,108,0.2777777777777778,0.7667483491859878,-0.001182747101812362,51.81481481481482,"{'stop': 38, 'breakeven': 37, 'max_hold': 23, 'target': 10}"
sweep,0.5,24,atr,3.0,3.0,1.0,-0.03832090145674701,-0.08096408974785736,-0.01034429006353843,-0.12776392714045404,98,0.3979591836734694,0.9884465675940174,-6.228514375661398e-05,58.795918367346935,"{'stop': 40, 'max_hold': 33, 'breakeven': 14, 'target': 11}"
sweep,0.5,24,atr,4.0,0.5,,0.17448323321595813,0.13365015153672458,0.012742834355520705,-0.09534470562885378,142,0.29577464788732394,1.0449483985695256,0.00018435556281092022,25.838028169014084,"{'stop': 97, 'target': 30, 'max_hold': 15}"
sweep,0.5,24,atr,4.0,0.5,0.5,-0.6038683753107382,-0.40509058921824237,-0.058831171815411754,-0.14522966808225823,184,0.16304347826086957,0.855507757985478,-0.00044375857553928956,15.733695652173912,"{'stop': 77, 'breakeven': 77, 'target': 29, 'max_hold': 1}"
sweep,0.5,24,atr,4.0,0.5,1.0,-0.2539896451042629,-0.241177868279944,-0.028582749224003945,-0.11851315142576391,160,0.20625,0.9373293625769891,-0.00022024180345729503,20.4,"{'stop': 83, 'breakeven': 43, 'target': 29, 'max_hold': 5}"
sweep,0.5,24,atr,4.0,1.0,,-0.20551950512762468,-0.2431867791034393,-0.026631205353356613,-0.10950926465467536,124,0.29838709677419356,0.9484673617181915,-0.00024829259994535734,35.516129032258064,"{'stop': 82, 'target': 21, 'max_hold': 21}"
sweep,0.5,24,atr,4.0,1.0,0.5,-0.40976461932117597,-0.3304644895178035,-0.04560363652485744,-0.13799859885520493,156,0.16025641025641027,0.8911260198981283,-0.0003846965942430122,23.96153846153846,"{'breakeven': 69, 'stop': 62, 'target': 21, 'max_hold': 4}"
sweep,0.5,24,atr,4.0,1.0,1.0,-0.43591135149655275,-0.332393415494666,-0.04730944733078024,-0.14232967659836038,138,0.2246376811594203,0.8909425755056,-0.0004538649842697473,29.666666666666668,"{'stop': 74, 'breakeven': 32, 'target': 19, 'max_hold': 13}"
sweep,0.5,24,atr,4.0,1.5,,-1.1610928489022094,-0.6136337237953456,-0.12380623302019467,-0.2017591736230676,108,0.28703703703703703,0.7066096343902633,-0.0017037700620550697,46.26851851851852,"{'stop': 69, 'max_hold': 27, 'target': 12}"
sweep,0.5,24,atr,4.0,1.5,0.5,-1.314734896158067,-0.6170423856199614,-0.12753704706240654,-0.20669090168622073,133,0.16541353383458646,0.655902281647234,-0.0014378984079904498,33.984962406015036,"{'breakeven': 60, 'stop': 50, 'max_hold': 12, 'target': 11}"
sweep,0.5,24,atr,4.0,1.5,1.0,-1.181779229548415,-0.6038792478629992,-0.12296171162128522,-0.20361970055507073,120,0.225,0.6931025393249937,-0.0015244654424695614,39.95,"{'stop': 61, 'breakeven': 28, 'max_hold': 19, 'target': 12}"
sweep,0.5,24,atr,4.0,2.0,,-1.3001646691001605,-0.6583728983629421,-0.13802811281297722,-0.20965035644113994,104,0.3173076923076923,0.6673855815978444,-0.0019992050075018433,53.22115384615385,"{'stop': 60, 'max_hold': 36, 'target': 8}"
sweep,0.5,24,atr,4.0,2.0,0.5,-1.270243227281556,-0.6478702878045659,-0.12153584924565952,-0.1875928739647983,124,0.20161290322580644,0.6713546670962764,-0.0014595605852334938,40.314516129032256,"{'breakeven': 53, 'stop': 45, 'max_hold': 17, 'target': 9}"
sweep,0.5,24,atr,4.0,2.0,1.0,-1.2195115002349814,-0.6209834926098434,-0.12517391747490036,-0.20157366333334348,114,0.2631578947368421,0.6914795275898177,-0.0016340852822193047,46.92982456140351,"{'stop': 55, 'max_hold': 25, 'breakeven': 25, 'target': 9}"
sweep,0.5,24,atr,4.0,3.0,,-0.2150629944607836,-0.2114970559635111,-0.034638410366894634,-0.16377726966029582,94,0.40425531914893614,0.9295162473481839,-0.00043154468059705215,64.96808510638297,"{'max_hold': 45, 'stop': 43, 'target': 6}"
sweep,0.5,24,atr,4.0,3.0,0.5,-0.5506874546624481,-0.3930170695081221,-0.06982112594290235,-0.177654181866163,108,0.26851851851851855,0.8282867609522374,-0.0008782653424744861,53.379629629629626,"{'breakeven': 38, 'stop': 38, 'max_hold': 25, 'target': 7}"
sweep,0.5,24,atr,4.0,3.0,1.0,0.05225522075874384,-0.008073479276376952,-0.0011907991952243568,-0.14749516961152576,98,0.3877551020408163,1.0164864973682415,8.967951985200981e-05,60.816326530612244,"{'stop': 40, 'max_hold': 37, 'breakeven': 15, 'target': 6}"
