,static_equity
2021-02-01,131576.74558353424
2021-02-02,132891.51941394806
2021-02-03,132476.47806835175
2021-02-04,132597.07321834564
2021-02-05,133408.26757717133
2021-02-08,133790.51213741302
2021-02-09,133592.05182361603
2021-02-10,133573.11183452606
2021-02-11,133725.39925289154
2021-02-12,134185.51821804047
2021-02-16,134209.0068731308
2021-02-17,133997.73544979095
2021-02-18,134098.36030483246
2021-02-19,133630.40603542328
2021-02-22,133527.6813879013
2021-02-23,133780.81841754913
2021-02-24,133348.41730213165
2021-02-25,132319.08364963531
2021-02-26,131712.18761730194
2021-03-01,132869.7968454361
2021-03-02,132627.33133029938
2021-03-03,132025.71200466156
2021-03-04,132632.43419361115
2021-03-05,136250.5455121994
2021-03-08,134965.25491809845
2021-03-09,138862.8251504898
2021-03-10,139028.61497974396
2021-03-11,140976.28084468842
2021-03-12,141117.77984142303
2021-03-15,142340.9801607132
2021-03-16,142412.53920841217
2021-03-17,143035.77724552155
2021-03-18,140446.94309139252
2021-03-19,141176.2754125595
2021-03-22,141760.11269283295
2021-03-23,141760.11269283295
2021-03-24,141760.11269283295
2021-03-25,141760.11269283295
2021-03-26,141760.11269283295
2021-03-29,141723.2625837326
2021-03-30,141844.8125333786
2021-03-31,141845.9125585556
2021-04-01,141837.6626844406
2021-04-05,141745.81257534027
2021-04-06,141841.51266765594
2021-04-07,141842.06257534027
2021-04-08,141759.01266765594
2021-04-09,141765.6126089096
2021-04-12,141676.51266765594
2021-04-13,141676.51266765594
2021-04-14,141676.51266765594
2021-04-15,141676.51266765594
2021-04-16,141676.51266765594
2021-04-19,141676.51266765594
2021-04-20,141676.51266765594
2021-04-21,141676.51266765594
2021-04-22,141676.51266765594
2021-04-23,141676.51266765594
2021-04-26,141676.51266765594
2021-04-27,141676.51266765594
2021-04-28,141676.51266765594
2021-04-29,141496.66559123993
2021-04-30,141939.99713420868
2021-05-03,142126.2182340622
2021-05-04,142029.74540996552
2021-05-05,142262.19694805145
2021-05-06,143571.66552639008
2021-05-07,145169.7998456955
2021-05-10,142402.69956874847
2021-05-11,142658.52712917328
2021-05-12,140635.16697597504
2021-05-13,142539.57644748688
2021-05-14,146072.3599843979
2021-05-17,145181.3404302597
2021-05-18,144666.87382221222
2021-05-19,144854.37512111664
2021-05-20,145475.50005817413
2021-05-21,144807.45288562775
2021-05-24,145613.1631269455
2021-05-25,144732.3060274124
2021-05-26,145499.30235767365
2021-05-27,145747.1026277542
2021-05-28,145846.8667345047
2021-06-01,145401.92413806915
2021-06-02,145549.05650806427
2021-06-03,145603.06419849396
2021-06-04,145706.42758655548
2021-06-07,145738.0884141922
2021-06-08,145794.77086353302
2021-06-09,145846.11192798615
2021-06-10,146276.88844013214
2021-06-11,146416.63690662384
2021-06-14,146090.16019916534
2021-06-15,145957.8441209793
2021-06-16,145170.48826885223
2021-06-17,144733.55435276031
2021-06-18,144288.48502254486
2021-06-21,146061.1184682846
2021-06-22,146307.9689054489
2021-06-23,145493.05670833588
2021-06-24,146829.89319324493
2021-06-25,147516.982380867
2021-06-28,148454.2818956375
2021-06-29,147851.95632266998
2021-06-30,148269.35504627228
2021-07-01,148586.62521457672
2021-07-02,148853.72213077545
2021-07-06,149694.7831583023
2021-07-07,149907.36335849762
2021-07-08,149640.72280216217
2021-07-09,150770.98083782196
2021-07-12,151486.8625383377
2021-07-13,150926.0065317154
2021-07-14,150616.47454929352
2021-07-15,149836.05460834503
2021-07-16,149338.3018465042
2021-07-19,149098.19678974152
2021-07-20,150472.16203403473
2021-07-21,152000.02848529816
2021-07-22,151410.34603214264
2021-07-23,152074.4654893875
2021-07-26,152250.16899967194
2021-07-27,151423.4087381363
2021-07-28,151695.09963703156
2021-07-29,152307.26609516144
2021-07-30,152434.54552936554
2021-08-02,152248.35577869415
2021-08-03,153171.37585926056
2021-08-04,150779.13126468658
2021-08-05,151531.63845920563
2021-08-06,151025.16595935822
2021-08-09,150874.8964319229
2021-08-10,150890.09656620026
2021-08-11,151113.09228992462
2021-08-12,151075.61865329742
2021-08-13,151667.79841709137
2021-08-16,152075.56924533844
2021-08-17,152266.26262378693
2021-08-18,150779.5633020401
2021-08-19,150256.1001520157
2021-08-20,149860.3654870987
2021-08-23,150771.30178165436
2021-08-24,151081.0970773697
2021-08-25,151255.80294132233
2021-08-26,150817.09011173248
2021-08-27,151749.49794864655
2021-08-30,152015.63768863678
2021-08-31,151419.30148410797
2021-09-01,151419.30148410797
2021-09-02,151695.16186618805
2021-09-03,151662.28170871735
2021-09-07,151813.9147348404
2021-09-08,152055.55124378204
2021-09-09,152460.55930042267
2021-09-10,151243.85233592987
2021-09-13,153710.7797307968
2021-09-14,152127.13080120087
2021-09-15,153808.31048488617
2021-09-16,153707.5431623459
2021-09-17,152286.28176784515
2021-09-20,149203.3711271286
2021-09-21,147776.03188610077
2021-09-22,148452.73235988617
2021-09-23,148993.04633808136
2021-09-24,148880.68659496307
2021-09-27,148761.78102207184
2021-09-28,146770.2262582779
2021-09-29,147463.01974773407
2021-09-30,145107.29298305511
