,p5,p25,p50,p75,p95
2020-02-25,90297.1549074103,107018.93150872126,119516.44502553866,132879.14239137815,155381.6779233216
2020-02-26,90477.28209761808,107015.31669959103,119722.03655301951,132885.407612188,155213.8902371265
2020-02-27,90275.43921903489,107054.4801482293,119780.65240181357,132813.2146746945,155799.16118420212
2020-02-28,90263.0049315781,107004.79365551169,119813.95766628464,132941.70253068313,155695.9627442712
2020-03-02,90262.40092318167,107372.76312745451,119810.15181636642,132819.58247511377,155655.87677871683
2020-03-03,90424.5707454247,107416.15049888246,119754.7995992054,132785.6243178165,155710.8098467192
2020-03-04,90457.05519100005,107110.75570489839,119802.8544240159,132933.13224807766,155629.73539431408
2020-03-05,90538.51679323553,107124.78649676255,119722.64385152486,132908.36772128654,155950.22822728992
2020-03-06,90657.14972696375,107282.58141988545,119676.23663294112,133092.8896979539,156214.60125847443
2020-03-09,90633.01091157742,107346.65413167309,120021.43559289942,133316.29611374642,156723.0849645141
2020-03-10,90538.13841896622,107523.88794482034,119845.36803335228,133507.53973183164,156488.6462607078
2020-03-11,90552.20721911879,107518.38796893484,120023.61481526773,133508.16289971911,156137.90009295152
2020-03-12,90383.1402968292,107569.5163676433,120094.70784766969,133736.34257541274,156842.4926481788
2020-03-13,90487.7768267979,107566.83069720233,120002.62163833468,133797.6854487586,157014.6085343633
2020-03-16,90537.0223776156,107553.45298317648,120293.95929011455,133815.39484194387,157244.7814202179
2020-03-17,90441.38484533435,107484.5298642649,120456.2098890671,133849.7973507432,156964.39646615108
2020-03-18,90384.19571573997,107430.97963019273,120458.26574608946,133897.60591283406,157014.6085343633
2020-03-19,90430.0253370044,107490.41581783963,120577.87991393739,134263.13816998515,157249.55647664698
2020-03-20,90591.61956870067,107603.02434558506,120559.6546670142,134132.52477257885,157032.88229276746
2020-03-23,90536.19232504145,107631.25919988906,120538.76786921118,134346.96937458124,157169.6896588552
2020-03-24,90389.63354883732,107723.69576628786,120495.20367367551,134542.15889174992,157175.79501221326
2020-03-25,90711.60088609865,107744.04876182992,120606.4902823509,134609.54892222615,157380.82976360535
2020-03-26,90691.48565541812,107754.72186782183,120630.72317281266,134468.2750429986,157793.39585501974
2020-03-27,90784.15572186113,107834.92633871885,120591.50444588663,134435.17646171807,157755.60517443725
2020-03-30,90909.57775689993,107895.61850630754,120587.9074523641,134597.8826103946,157928.59567199025
2020-03-31,91254.77379138743,107950.4619886395,120687.42010315282,134682.6403540047,157999.4651155615
2020-04-01,91078.93255893239,107961.18623739094,120725.67993488046,134749.51908419718,158412.12591829142
2020-04-02,90938.80492096263,107961.81421462828,120700.1985037566,134773.5388418984,158305.96292279774
2020-04-03,90844.70357703824,107937.40613621753,120681.93689014323,134718.31791111163,158437.38377679005
2020-04-06,90727.70517976706,108013.13689165625,120806.70482697917,134800.53733444758,158453.7415172194
2020-04-07,90634.12893218627,108431.41440435156,120729.47077414903,134752.50057948907,158661.94016901052
2020-04-08,90956.58894198567,108148.70911229652,120977.07273092598,134759.6964859498,159135.65425078312
2020-04-09,91186.14454961981,108157.91401008694,120975.80825869144,135013.8007964118,159325.80002121185
2020-04-13,91454.48237804219,108401.85063065699,121167.82117335306,134967.71208942164,159546.4905296751
2020-04-14,91235.64670486815,108154.18715559728,121081.12006976812,135074.3887290422,159922.51263287262
2020-04-15,91447.95580987354,108161.3983828639,121113.31586288847,135033.0414882929,160703.27821204037
2020-04-16,90937.52889632763,108099.63047866485,121159.35400623176,135019.83429976142,160639.79270007942
2020-04-17,91197.2586478843,107967.50240120247,121206.98530472771,134907.04701887848,160011.14703066426
2020-04-20,90873.17339926034,107910.81189639309,121208.02732247068,135144.21845639485,160640.86671675846
2020-04-21,90785.67838765077,107822.42849589957,121325.78957119025,135192.41438313047,160734.8064809471
2020-04-22,90687.01373427927,107919.33659253607,121393.7612672562,135215.82368712526,160703.27821204037
2020-04-23,90857.68430813168,107936.42947660646,121404.59474039808,135215.82368712526,160477.4619761154
2020-04-24,90984.18453479822,108109.97642074428,121615.21283192249,135581.1406793135,160538.656191336
2020-04-27,90942.19691485449,108222.71566007107,121576.58020676182,135405.69787371746,160731.19288797263
2020-04-28,91035.8555997895,108056.54356518814,121666.49620282534,135309.72582585216,160723.4173015461
2020-04-29,91106.64799691524,108164.46120244036,121623.38433966509,135349.4340814568,160702.5087596545
2020-04-30,90904.03266160733,108204.16442773926,121693.18294081763,135774.75647951604,160940.19667566346
2020-05-01,90927.68210941833,108125.70426180244,121786.05588482408,135996.8759596196,161174.7102807736
2020-05-04,90992.84238711788,108248.68438674056,121972.58552611395,136039.9974158865,161472.3058549979
2020-05-05,91102.35980904271,108295.6658204034,121834.95239754074,136064.4173011427,161482.5023059504
2020-05-06,91391.15595667357,108200.11628657448,121932.55193123262,136198.5790236819,161532.10013355417
2020-05-07,91394.13981475406,108307.94395239954,122058.75969033255,136143.6982464939,161788.18239256903
2020-05-08,91337.11038042171,108253.66858408866,122089.24234005343,136304.1582351788,161788.18239256903
2020-05-11,91520.36887060167,108253.74113423709,122107.88520681407,136218.570717057,161559.8706097376
2020-05-12,91211.85428706551,108213.02662095377,121971.45616148737,136061.2135991401,161725.17526585844
2020-05-13,91121.15017689497,108186.5987570359,122152.86563879307,136153.89148102712,161822.95273747682
2020-05-14,91385.72629768448,108208.77973135735,122138.80297306822,136274.32175230543,161988.0033738633
2020-05-15,91266.49347381963,108079.51806916643,122298.73381137321,136464.13954620005,162085.44841299375
2020-05-18,91267.6940292469,108132.95168738787,122204.22303978409,136652.85309354455,162654.35647270855
2020-05-19,91266.49347381963,108141.17464378255,122291.37240505911,136672.09706224658,162414.64062291195
2020-05-20,91266.49347381963,108217.58427445327,122224.00468674947,136703.0690151464,162690.20194706428
2020-05-21,91269.26699996619,108369.49134890549,122226.12279654024,136569.072905341,162007.21963106803
2020-05-22,91298.65941903218,108451.95839803654,122211.73891390342,136989.182608302,162313.5397373483
2020-05-26,91298.65941903218,108483.92663223806,122240.36186889057,137012.87322143003,161788.84261452922
2020-05-27,91139.28682566552,108201.25171339928,122232.08425667734,136977.29306119416,162240.02342129173
2020-05-28,91125.01423599635,108267.1035924055,122421.68285400124,137030.70998165692,162310.05472202963
2020-05-29,91139.28682566552,108280.26450440628,122405.19072527048,137102.77032612354,162115.04703646575
2020-06-01,91298.65941903218,108395.99819371743,122227.7503241969,137298.92195780415,162192.5247359674
2020-06-02,91117.78070735242,108444.99610959763,122180.2343077509,137363.21112059616,162305.6382921152
2020-06-03,91121.47202014172,108394.29319916184,122243.3196922313,137570.02809667523,162334.966909939
2020-06-04,91219.48479401339,108175.95158541665,122359.87207426362,137584.2331474358,162471.90023851686
2020-06-05,91264.5588939823,108374.21037078043,122409.88065087548,137590.64677927515,162472.31207000877
2020-06-08,91234.41540534189,108387.3295519567,122383.31578545034,137537.69006816746,162656.39855598178
2020-06-09,91380.12384944878,108470.16517547992,122588.53537541284,137591.41957812302,162817.79399086037
2020-06-10,91415.32141265785,108523.63778808882,122484.10487118803,137623.56958997127,163026.2384876679
2020-06-11,91266.12499162387,108736.7797711892,122463.75835211473,137576.72285756143,163273.1965616511
2020-06-12,91268.00470214692,108784.8394251926,122549.9388463263,137655.00630293548,163080.7239184379
2020-06-15,91215.11326799316,108779.72525760651,122607.4330880027,137787.31008841563,163273.1965616511
2020-06-16,91450.49680758573,108694.20628286431,122490.87305714455,137797.83433973166,163273.1965616511
2020-06-17,91299.84996579419,108934.23242165071,122629.11858368383,137787.53582058355,163260.81019970292
2020-06-18,91325.52070726409,109099.34825905673,122961.91846248048,137947.16636565185,163276.19678395882
2020-06-19,91514.41293571817,109184.06404451517,122863.02202370984,138059.21573842567,163533.85016542682
2020-06-22,91500.54558537975,109143.52481677783,122952.75421771468,137960.2898535286,163651.2945621511
2020-06-23,91521.19198953698,109087.48473143773,123129.42578375393,138014.9544867637,163377.72470362877
2020-06-24,91196.23448899282,109089.8440476594,123141.35475671149,138053.5424293382,163655.76647986262
2020-06-25,91404.27244356283,109140.23968662815,123084.82826985259,138125.49964160472,164184.80991434754
2020-06-26,91269.8020448908,108997.11841860702,123322.31935683562,138063.92461864962,163908.89970316106
2020-06-29,91294.87591464497,109251.35658325753,123305.71458252429,138091.32639529783,164080.79579523922
2020-06-30,91491.93313023091,109098.59099415308,123426.48778985118,138141.13237719474,164383.75282373495
2020-07-01,91366.01501387397,109019.56116665954,123525.97537920738,138298.8619614326,164188.75661772076
2020-07-02,91309.19608550693,109022.95897176903,123444.86740745488,138183.94224609848,164396.5522816273
2020-07-06,91456.92455652448,109061.0436722802,123461.3845783299,138202.86387830405,164566.04263829748
2020-07-07,91297.82800001853,109153.37832692797,123524.37653390475,138488.42955057364,164498.87973465555
2020-07-08,91490.12065327489,109393.73577926354,123469.17771004018,138491.59414163075,164606.81640363278
