,BBfull,BBOU,Nasdaq-100
2020-02-10,68972.48741722107,115204.95223140717,146157.93480484467
2020-02-11,69113.40034389496,114524.01564788818,146173.60758244482
2020-02-12,68317.68459415436,114444.34220695496,147637.81995713006
2020-02-13,68352.50156497955,114887.45708084106,147369.05806756602
2020-02-14,67880.70821094513,114394.0187664032,147797.2323524524
2020-02-18,67567.05291461945,114140.86583709717,147892.7538075101
2020-02-19,65897.31071949005,114191.47725105286,149258.5351397172
2020-02-20,65667.82847118378,113459.55689620972,147862.50309706083
2020-02-21,67776.43853473663,113594.27412605286,145080.5925719733
2020-02-24,70309.88148021698,116279.76155662537,139443.34193411373
2020-02-25,68430.64371013641,115941.28111457825,135684.3649570491
2020-02-26,67629.35405063629,115588.18360900879,136281.62526553735
2020-02-27,61436.182253837585,110614.19484043121,129568.87713322252
2020-02-28,62169.615792274475,107708.05040550232,129955.28234096406
2020-03-02,65081.36143016815,116255.7720155716,136346.44607394672
2020-03-03,62099.532378196716,110821.14476203918,131992.65344174195
2020-03-04,67225.76496219635,120392.61473178864,137441.45580156735
2020-03-05,64269.42177295685,116401.86020183563,133177.8153857783
2020-03-06,61324.78268909454,113400.46350002289,131007.4431445621
2020-03-09,54499.65066432953,100753.12354278564,122064.42876400125
2020-03-10,57472.05638599396,106045.64084243774,128579.82738047744
2020-03-11,54080.613450050354,99640.93294525146,122956.56975840825
2020-03-12,49473.86016178131,86636.61033058167,111553.84416489743
2020-03-13,53639.564326286316,93691.46834754944,122789.77840942153
2020-03-16,47816.68472003937,82597.11347484589,107817.74644355431
2020-03-17,50512.68366146088,87681.42270183563,114783.59868570635
2020-03-18,47897.400175094604,83509.86811161041,110195.14182888865
2020-03-19,48542.87872028351,84196.24971866608,111935.7950042684
2020-03-20,47345.30587100983,80534.25662708282,107417.06326042968
2020-03-23,47297.206139564514,80263.50626468658,107611.03075583882
2020-03-24,49560.75969219208,84918.13187503815,116010.37972815456
2020-03-25,49912.42867183685,84784.21200466156,114717.09811548723
2020-03-26,51687.254073143005,87081.89570713043,121282.7171107137
2020-03-27,51203.20749568939,86143.86463832855,116540.83950895764
2020-03-30,51533.794028282166,86889.5671415329,121158.00979421119
2020-03-31,51359.54822444916,86668.02385997772,119998.3442347875
2020-04-01,51099.00753688812,86371.84596538544,114973.11181274494
2020-04-02,51198.558272361755,86487.47029781342,117267.11152358595
2020-04-03,51003.53261470795,86352.66930866241,115615.37324007456
2020-04-06,51422.07868862152,86657.35939693451,124116.70025190429
2020-04-07,51744.34399318695,86657.35939693451,123619.87320197996
2020-04-08,51717.59283351898,86657.35939693451,126387.8132080871
2020-04-09,51890.86515712738,86695.04806804657,126525.88362970132
2020-04-13,51495.778502464294,86853.91208934784,127972.74346497667
2020-04-14,50379.23490810394,86488.11284160614,133492.65074212477
2020-04-15,50989.67895412445,87403.92962551117,131953.79395201762
2020-04-16,49007.365149497986,86624.09340190887,134501.19773016186
2020-04-17,48104.224608421326,86299.7360830307,135646.58531420244
2020-04-20,48484.91603755951,86684.51349925995,134020.18593763406
2020-04-21,50926.67571926117,87555.17647838593,129051.78045753112
2020-04-22,49477.812750816345,87059.9694814682,133069.99567461334
2020-04-23,49420.999945640564,87167.84358501434,132714.62106673274
2020-04-24,48621.5370092392,86798.342669487,134943.035077626
2020-04-27,48484.69527339935,86555.47165966034,135727.2138810717
2020-04-28,49843.3369512558,86814.86171245575,133269.0324511984
2020-04-29,49503.95353984833,86814.86171245575,137955.62789196492
2020-04-30,51160.01048564911,87726.5768251419,138228.22923709417
2020-05-01,53044.87032222748,88301.3561258316,133892.25407837168
2020-05-04,53048.91615962982,88216.12680149078,135672.69661162046
2020-05-05,52908.50426578522,88303.7557630539,137154.87643852102
2020-05-06,52936.063788414,88286.6868276596,137987.8883174366
2020-05-07,53029.15169429779,88499.26296138763,139785.05347941662
2020-05-08,55199.62558078766,89087.7418832779,141604.49048324948
2020-05-11,55035.859669685364,88969.76853084564,142811.15937760024
2020-05-12,55488.510016441345,89279.26543521881,139947.39046003277
2020-05-13,56306.48612689972,89348.45180988312,138221.63017284148
2020-05-14,57185.5314912796,89350.0533876419,139670.48472526597
2020-05-15,56939.062903404236,89217.12160778046,140564.6129378854
2020-05-18,58465.687470436096,90310.30608463287,143318.1174909398
2020-05-19,58562.6573009491,90612.75302124023,142805.32520488597
2020-05-20,57147.44903469086,89956.96605396271,145669.24410118646
2020-05-21,58364.04447555542,91047.54059886932,144025.50718308144
2020-05-22,57886.586606025696,91534.68196582794,144578.38878447036
2020-05-26,57301.0611448288,91639.21579265594,144209.65107147806
2020-05-27,56312.40000629425,90458.89906215668,145009.32267804426
2020-05-28,57239.411578178406,91237.611369133,144620.1578616152
2020-05-29,54731.52186870575,90695.41128253937,146752.1355471794
2020-06-01,54274.67814064026,89969.65820407867,147418.04112176894
2020-06-02,52852.58237075806,88723.77415943146,148315.24389841518
2020-06-03,51564.94117164612,84924.30539989471,149042.91071526057
2020-06-04,52172.11916732788,85149.66385555267,147890.60911162797
2020-06-05,50812.893407821655,82610.08456897736,150881.2300415801
2020-06-08,50148.521980285645,81604.9446439743,152065.7770728111
2020-06-09,50907.3203458786,83936.92352771759,153074.02410338214
2020-06-10,50543.45747280121,84365.30832195282,155025.84733484793
2020-06-11,55687.19198894501,91002.9018907547,147258.17879024753
2020-06-12,55578.0221452713,90695.22930622101,148414.61980691136
2020-06-15,54826.31155490875,90206.09911060333,150151.73348419197
2020-06-16,54036.75677013397,89092.72706317902,152800.6578667145
2020-06-17,53432.81766796112,88886.43122959137,153309.16076100408
2020-06-18,52920.26795101166,88791.23554325104,153763.2813667022
2020-06-19,52523.647643089294,88671.28802585602,153710.90879313313
2020-06-22,51488.32783412933,89004.7813577652,155579.80878311454
2020-06-23,51276.53571891785,88889.4260263443,156800.6056741154
2020-06-24,52742.09243488312,89129.00599765778,153619.691727713
2020-06-25,51352.121282577515,88936.75344944,155142.11084868165
2020-06-26,52950.4681930542,88890.34163761139,151264.72566190115
2020-06-29,53935.93774700165,89371.26910495758,152981.7271910843
2020-06-30,53698.51908302307,89143.84282779694,155987.0910304919
2020-07-01,52591.34416103363,88042.54951572418,157866.89447436354
2020-07-02,52060.897537231445,87764.48662662506,158828.90306154586
2020-07-06,51085.305090904236,87519.81939983368,162855.26212383085
2020-07-07,51360.14201259613,87727.16404819489,161625.8714514282
2020-07-08,51100.12731838226,88338.24819278717,163817.28570888648
2020-07-09,49676.194378852844,88223.9955701828,165167.07930815412
2020-07-10,49816.59804439545,88821.7285490036,166422.43129924175
2020-07-13,52899.66949558258,89349.09685611725,162826.8561517977
2020-07-14,52036.365094184875,89436.12868976593,164167.74101432416
2020-07-15,52121.90864276886,89398.24177074432,164354.49453267528
2020-07-16,52184.103600502014,89452.93009281158,163199.28334162215
2020-07-17,51547.40916919708,88746.7203874588,163487.39248774524
2020-07-20,50226.5695772171,89570.13378620148,168200.09922592976
2020-07-21,49907.81705951691,89110.51117420197,166372.36839816114
2020-07-22,49055.34806060791,88734.08114337921,166951.04634162877
2020-07-23,50550.606285095215,89200.3531961441,162494.8182347743
2020-07-24,50954.41268634796,89893.54436206818,160998.04547715132
2020-07-27,51062.06237030029,89360.00946521759,163935.22898453
2020-07-28,51922.27049827576,89792.28632640839,161756.262961912
2020-07-29,51237.39290142059,88793.52697467804,163760.1588094808
2020-07-30,51473.686487197876,89256.92978191376,164566.89441437204
2020-07-31,50919.6315574646,89507.74545001984,167490.564837906
2020-08-03,51147.419914245605,90042.9878282547,169781.9549187925
2020-08-04,51126.36159133911,89852.4391298294,170418.68962981048
2020-08-05,50596.468269348145,89875.60723400116,170862.53669229703
2020-08-06,50271.820945739746,90161.66916370392,173037.81323808286
2020-08-07,51504.67210006714,90341.8657503128,171076.7663145366
2020-08-10,51901.82760429382,90898.90477466583,170244.06939096036
2020-08-11,52786.106033325195,88951.85673809052,167032.9047341087
2020-08-12,51414.394788742065,88296.58936595917,171358.276396407
2020-08-13,52267.82628440857,88051.28718090057,171675.4214252419
2020-08-14,51333.45796585083,86397.09426212311,171461.64173920138
2020-08-17,51137.35041427612,87429.1155462265,173367.8564379571
2020-08-18,51089.33382797241,87421.70924854279,175064.2808849705
2020-08-19,51229.40432357788,87217.77165317535,173829.65595478562
2020-08-20,51285.877574920654,87242.07059192657,176262.4909787792
2020-08-21,51114.32480049133,86723.11747074127,177462.09587480495
2020-08-24,50787.41124534607,86592.40029621124,178552.65123405503
2020-08-25,50339.44096183777,86539.8492307663,180021.46795584387
2020-08-26,48948.79891014099,86321.85875988007,183862.93323606713
2020-08-27,49654.37610054016,86359.9463148117,183159.84793356303
2020-08-28,48620.70549201965,85641.91866588593,184230.12616810936
2020-08-31,48867.89413642883,86234.31329059601,185993.9810534866
2020-09-01,47160.53329086304,85430.84406757355,188791.5643561743
2020-09-02,45858.1260509491,84204.53738117218,190752.4463031142
2020-09-03,50893.87887382507,87904.71586322784,180782.61002589832
2020-09-04,49789.15837287903,87964.44493198395,178490.60503220643
2020-09-08,49741.696813583374,88771.08181476593,169984.36621687046
2020-09-09,51414.89104652405,89583.80677509308,175015.4328116273
2020-09-10,50025.20066070557,89153.67216968536,171302.99423541743
2020-09-11,49593.029972076416,88843.85502910614,170278.32453358115
2020-09-14,51696.31367683411,89728.25107479095,173201.82998050877
2020-09-15,52079.48193359375,89651.17171192169,175676.1341241812
2020-09-16,51292.173570632935,86859.51533031464,172738.63566146322
2020-09-17,51207.02311515808,87883.3006849289,170179.2635804243
2020-09-18,51499.61914253235,88131.9783411026,167968.20210894095
2020-09-21,51926.44725036621,88918.99816226959,168632.26294511437
2020-09-22,52990.334367752075,89613.10335826874,171798.28400332833
2020-09-23,51859.05948257446,88333.94695568085,166376.35783245935
2020-09-24,52017.55577278137,88799.59132862091,167346.0453307721
2020-09-25,53218.0086107254,89414.6779165268,171257.07074736804
2020-09-28,55623.58012390137,90576.45324611664,174533.20619136206
2020-09-29,54443.95335292816,90163.62288570404,173895.85656753872
2020-09-30,56076.348096847534,90868.363448143,175356.52944412484
2020-10-01,54998.10794830322,90569.6772813797,177892.72981091283
2020-10-02,55755.9929523468,92118.87960338593,172862.89304176669
2020-10-05,55185.800216674805,92114.82653331757,176754.09126985792
2020-10-06,54769.10523414612,92509.47182750702,173409.31055976264
2020-10-07,53542.056478500366,91636.91777706146,176663.95405131552
2020-10-08,53314.63170814514,92245.28694820404,177397.2900642689
2020-10-09,51831.778144836426,90795.43867588043,180083.51415769244
2020-10-12,49904.54454994202,88815.91091823578,185647.05024827478
2020-10-13,49632.04681777954,89581.5220746994,185571.17600724217
2020-10-14,50400.04619216919,90010.43137836456,184069.03401097725
2020-10-15,50963.31946563721,90106.25080776215,182736.12801704716
2020-10-16,50324.8538646698,89928.6093416214,182023.5190649966
