ticker,direction,entry_date,exit_date,entry_price,exit_price,shares,days_held,pnl_dollars,pnl_pct,reason
MDLZ,long,2020-02-27,2020-03-04,46.158016204833984,49.166847229003906,479.0,4,1441.2300605773926,0.06518544927965983,mean_revert
CCEP,long,2020-02-28,2020-03-04,42.339561462402344,45.87894058227539,484.0,3,1713.0594940185547,0.08359508217901657,mean_revert
KDP,long,2020-02-28,2020-03-05,23.69858741760254,22.950572967529297,908.0,4,-679.1971206665039,-0.031563672420308116,stop_loss
MSTR,long,2020-02-25,2020-03-09,14.005000114440918,12.942999839782715,1655.0,9,-1757.6104545593262,-0.07583007968440837,stop_loss
WBD,long,2020-02-26,2020-03-09,26.469999313354492,23.649999618530273,544.0,8,-1534.079833984375,-0.10653569202782294,stop_loss
EXC,long,2020-02-27,2020-03-09,25.71753692626953,23.877315521240234,818.0,7,-1505.3011093139648,-0.07155511860661809,stop_loss
LIN,long,2020-02-27,2020-03-09,177.73480224609375,158.584716796875,76.0,7,-1455.406494140625,-0.1077452767112167,stop_loss
MCHP,long,2020-02-27,2020-03-09,39.77762222290039,34.502262115478516,210.0,7,-1107.8256225585938,-0.13262130345198953,stop_loss
PEP,long,2020-02-27,2020-03-09,111.3943862915039,107.03965759277344,198.0,7,-862.2362823486328,-0.039092891874593555,stop_loss
FAST,long,2020-02-28,2020-03-09,14.533735275268555,13.246850967407227,907.0,6,-1167.2040672302246,-0.08854463656367575,stop_loss
KDP,long,2020-03-05,2020-03-09,22.950572967529297,20.783018112182617,1014.0,2,-2197.900623321533,-0.0944444767637548,stop_loss
INTU,long,2020-02-27,2020-03-12,256.5982360839844,227.16441345214844,60.0,10,-1766.0293579101562,-0.11470781358840781,stop_loss
QCOM,long,2020-02-27,2020-03-12,65.81678009033203,58.547916412353516,150.0,10,-1090.3295516967773,-0.11044088860017409,max_holding
TER,long,2020-02-27,2020-03-12,56.985477447509766,48.6147346496582,141.0,10,-1180.2747344970703,-0.1468925623297969,stop_loss
AMGN,long,2020-02-28,2020-03-12,164.82901000976562,150.39520263671875,79.0,9,-1140.2707824707031,-0.0875683678024379,stop_loss
CCEP,long,2020-03-09,2020-03-12,40.28738784790039,32.79322052001953,324.0,3,-2428.1102142333984,-0.18601770251707753,stop_loss
EXC,long,2020-03-09,2020-03-12,23.877315521240234,20.094316482543945,364.0,3,-1377.0116500854492,-0.1584348556826288,stop_loss
PEP,long,2020-03-09,2020-03-12,107.03965759277344,94.85211944580078,123.0,3,-1499.0671920776367,-0.11386002553688543,stop_loss
TRI,long,2020-03-09,2020-03-12,62.54798889160156,54.479000091552734,175.0,3,-1412.073040008545,-0.12900476806748726,stop_loss
ADI,long,2020-03-09,2020-03-16,87.5110092163086,74.67738342285156,87.0,5,-1116.5254440307617,-0.14665155742559247,stop_loss
KDP,long,2020-03-09,2020-03-16,20.783018112182617,16.66041374206543,512.0,5,-2110.7734375,-0.19836408494012686,stop_loss
MCHP,long,2020-03-09,2020-03-16,34.502262115478516,24.681779861450195,117.0,5,-1148.9964237213135,-0.28463299656003205,stop_loss
MSTR,long,2020-03-11,2020-03-16,12.414999961853027,10.666000366210938,625.0,3,-1093.1247472763062,-0.14087793806010124,stop_loss
AMGN,long,2020-03-12,2020-03-17,150.39520263671875,171.48883056640625,47.0,3,991.4005126953125,0.1402546594563883,mean_revert
CCEP,long,2020-03-12,2020-03-19,32.79322052001953,25.7144718170166,127.0,5,-899.0010852813721,-0.21586012568303595,stop_loss
INTU,long,2020-03-12,2020-03-20,227.16441345214844,192.69927978515625,25.0,6,-861.6283416748047,-0.15171889444845715,stop_loss
FAST,long,2020-03-09,2020-03-23,13.246850967407227,11.96845817565918,568.0,10,-726.1271057128906,-0.09650541059859628,max_holding
LIN,long,2020-03-09,2020-03-23,158.584716796875,137.3979034423828,39.0,10,-826.2857208251953,-0.13359933909412944,max_holding
TER,long,2020-03-12,2020-03-25,48.6147346496582,52.91718292236328,79.0,9,339.8934135437012,0.08850091034561118,mean_revert
KDP,long,2020-03-16,2020-03-25,16.66041374206543,21.250530242919922,183.0,7,839.9913196563721,0.2755103547797874,mean_revert
EXC,long,2020-03-12,2020-03-26,20.094316482543945,20.84636116027832,196.0,10,147.4007568359375,0.037425740675861296,max_holding
MDLZ,long,2020-03-12,2020-03-26,40.26749038696289,41.44560623168945,167.0,10,196.74534606933594,0.029257245321352144,max_holding
PEP,long,2020-03-12,2020-03-26,94.85211944580078,98.898193359375,70.0,10,283.2251739501953,0.042656652663266806,max_holding
QCOM,long,2020-03-12,2020-03-26,58.547916412353516,60.260154724121094,80.0,10,136.97906494140625,0.029245076796726086,max_holding
ADI,long,2020-03-16,2020-03-30,74.67738342285156,81.64164733886719,41.0,10,285.5348205566406,0.09325800659861543,max_holding
MCHP,long,2020-03-16,2020-03-30,24.681779861450195,30.5324649810791,62.0,10,362.7424774169922,0.23704470068493452,max_holding
MSTR,long,2020-03-16,2020-03-30,10.666000366210938,11.02400016784668,316.0,10,113.12793731689453,0.03356457803712981,max_holding
TRI,long,2020-03-17,2020-03-30,51.144996643066406,59.02777862548828,65.0,9,512.3808288574219,0.15412616091139236,mean_revert
INTU,long,2020-03-20,2020-04-03,192.69927978515625,208.49977111816406,16.0,10,252.807861328125,0.08199559100907929,max_holding
FAST,long,2020-03-23,2020-04-06,11.96845817565918,13.667316436767578,422.0,10,716.9181861877441,0.14194462111781841,mean_revert
LIN,short,2020-04-08,2020-04-23,171.23443603515625,166.06832885742188,46.0,10,237.64093017578125,0.030169791178415294,max_holding
TER,short,2020-04-08,2020-04-23,61.24890899658203,59.70744705200195,91.0,10,140.2730369567871,0.025167173911066706,max_holding
AMGN,short,2020-04-14,2020-04-28,187.1687469482422,196.13931274414062,49.0,10,-439.55772399902344,-0.04792769061161194,max_holding
QCOM,short,2020-04-14,2020-04-28,67.7468032836914,65.77251434326172,111.0,10,219.1460723876953,0.02914217121304313,max_holding
WBD,short,2020-04-29,2020-05-05,24.729999542236328,21.25,279.0,4,970.9198722839355,0.14071975764871497,mean_revert
EXC,long,2020-05-06,2020-05-08,19.644237518310547,21.32493782043457,629.0,2,1057.1604900360107,0.08555691207446608,mean_revert
MCHP,short,2020-04-29,2020-05-13,40.83534240722656,37.15321731567383,133.0,10,489.7226371765137,0.0901700555081207,max_holding
TRI,long,2020-05-06,2020-05-13,60.198219299316406,57.95487976074219,293.0,5,-657.2984848022461,-0.03726587870348672,stop_loss
FAST,short,2020-05-08,2020-05-22,16.700992584228516,16.542747497558594,635.0,10,100.48563003540039,0.00947519052366742,max_holding
MSTR,long,2020-05-13,2020-05-22,11.494999885559082,12.237000465393066,1267.0,7,940.1147346496582,0.06454985534764063,mean_revert
INTU,short,2020-05-11,2020-05-26,275.39813232421875,270.001953125,47.0,10,253.62042236328125,0.01959410237708502,max_holding
CCEP,long,2020-05-13,2020-05-26,29.129220962524414,31.571887969970703,322.0,8,786.5387763977051,0.0838562421765021,mean_revert
TRI,long,2020-05-13,2020-05-28,57.95487976074219,60.31376647949219,277.0,10,653.41162109375,0.04070212428165326,mean_revert
LIN,short,2020-05-18,2020-05-28,176.09829711914062,183.2338409423828,102.0,7,-727.8254699707031,-0.04052023182492549,stop_loss
ADI,short,2020-05-20,2020-06-03,102.8216323852539,109.74199676513672,149.0,9,-1031.134292602539,-0.06730455663214399,stop_loss
MCHP,short,2020-05-26,2020-06-03,41.708740234375,48.34837341308594,302.0,6,-2005.1692199707031,-0.1591904512435685,stop_loss
LIN,short,2020-05-28,2020-06-03,183.2338409423828,195.9237060546875,79.0,4,-1002.4993438720703,-0.06925502978620073,stop_loss
KDP,short,2020-05-20,2020-06-04,23.68726348876953,24.31173324584961,759.0,10,-473.9725456237793,-0.026363102575193968,max_holding
AMGN,long,2020-05-21,2020-06-05,186.75735473632812,187.4967803955078,97.0,10,71.72428894042969,0.003959285353038116,max_holding
TER,short,2020-05-27,2020-06-05,66.0468521118164,75.00750732421875,161.0,7,-1442.6654891967773,-0.13567119288640855,stop_loss
QCOM,short,2020-06-02,2020-06-05,73.93183898925781,77.95503234863281,240.0,3,-965.56640625,-0.05441760159597226,stop_loss
